CODGEO,NOM_COMM,STATUT,POPULATION,superficie_ha,x_ctr,y_ctr,id
2A163,MONACIA-D'AULLENE,Commune simple,486,3957.18677499126,1202649.44051845,6066204.93808322,97
2A114,FIGARI,Commune simple,1462,10014.3465704787,1211776.94015307,6065903.24309617,98
2A041,BONIFACIO,Commune simple,2961,14032.2810999704,1217942.26213065,6057384.84195637,99
2A035,BELVEDERE-CAMPOMORO,Commune simple,160,2710.44540799359,1186193.48810102,6075278.98153128,196
2A272,SARTENE,Sous-préfecture,3403,20087.8394079573,1195887.15852811,6070877.04805941,197
2A247,PORTO-VECCHIO,Commune simple,11354,16874.218355464,1222227.40205106,6075303.21811611,199
2A249,PROPRIANO,Commune simple,3734,1907.98221199589,1191780.33560775,6079379.70844683,296
2A349,VIGGIANELLO,Commune simple,685,1673.9171349958,1195875.64338641,6081705.20770837,297
2A142,LEVIE,Commune simple,721,8637.0420764801,1210230.82499048,6080931.47351146,298
2A139,LECCI,Commune simple,1503,2731.09806099472,1227022.89467804,6083866.27429369,299
2A098,COTI-CHIAVARI,Commune simple,743,6320.60141998586,1179037.74241511,6091690.53279276,395
2A228,PIETROSELLA,Commune simple,1368,3543.46912199208,1183590.73246293,6098620.13784812,396
2A211,PETRETO-BICCHISANO,Commune simple,557,3965.37618349133,1197075.8966166,6093205.49587005,397
2A254,QUENZA,Commune simple,198,9647.06497497815,1215944.21275775,6098773.07446745,398
2A362,ZONZA,Commune simple,2553,13398.9651819701,1222188.20366836,6089641.32435521,399
2A004,AJACCIO,Préfecture de région,67507,8268.24667248037,1173452.83363501,6109795.95266124,495
2A130,GROSSETO-PRUGNA,Commune simple,2779,3237.29119099183,1188354.34103642,6105115.35897457,496
2A312,SANTA-MARIA-SICHE,Commune simple,460,1058.17032099754,1196913.70555665,6105969.60670076,497
2A359,ZICAVO,Commune simple,232,9285.16946047784,1212483.48511776,6107103.04838617,498
2B283,SOLARO,Commune simple,691,9429.49069347776,1225258.27170111,6107577.45621238,499
2A269,SARI-SOLENZARA,Commune simple,1391,7490.71330448346,1228504.2841295,6100451.87886911,500
2A351,VILLANOVA,Commune simple,351,1152.25982149815,1170647.38875929,6112752.33676271,594
2A006,ALATA,Commune simple,3108,3088.05776499351,1175614.45221676,6114283.37891564,595
2A032,BASTELICACCIA,Commune simple,3657,1801.05119699531,1184682.64108296,6110704.48421122,596
2A031,BASTELICA,Commune simple,546,12821.1413769691,1201792.64388501,6117873.46123396,597
2A099,COZZANO,Commune simple,288,2501.46426399445,1213659.92252524,6112693.80022841,598
2B277,SERRA-DI-FIUMORBO,Commune simple,316,4432.80949099051,1225058.24869384,6117841.34134762,599
2B342,VENTISERI,Commune simple,2413,4690.22240848894,1228201.4526074,6114660.33466492,600
2A090,COGGIA,Commune simple,824,3170.7801819926,1174822.1758197,6129731.58383698,695
2A345,VERO,Commune simple,511,2379.82372799521,1190713.04325349,6125129.71135678,696
2A330,UCCIANI,Commune simple,477,2865.12204849332,1195785.88831368,6124019.09152471,697
2B124,GHISONI,Commune simple,222,12566.1354414708,1214255.42067939,6130260.92816155,698
2B135,ISOLACCIO-DI-FIUMORBO,Commune simple,362,4106.52315549022,1219346.44001887,6122311.76221446,699
2B123,GHISONACCIA,Commune simple,3970,7682.81022298299,1232234.1325402,6126468.81480685,700
66061,COUSTOUGES,Commune simple,108,1677.38904749588,670124.19337867,6139650.32583305,750
2A065,CARGESE,Commune simple,1282,4689.35306748929,1165529.13005008,6133720.69214034,794
2A348,VICO,Commune simple,889,5141.97616748714,1174061.8291845,6133924.41431656,795
2A240,POGGIOLO,Commune simple,100,1191.78201299725,1187879.08630268,6136257.99326873,796
2A131,GUAGNO,Commune simple,141,4276.61669799007,1194848.56105509,6138543.01889344,797
2B354,VIVARIO,Commune simple,475,7919.35237048023,1206321.33491508,6136529.58418351,798
2B347,VEZZANI,Commune simple,318,4662.26521898747,1220431.75678387,6138203.85411969,799
2B009,ALERIA,Commune simple,2214,6341.60383548513,1237736.55452188,6133875.29399215,800
66218,UR,Commune simple,349,689.206797998033,612778.689498309,6151951.53482193,845
66130,OSSEJA,Commune simple,1333,1699.15868599593,617314.795164996,6144404.83587072,846
66080,FONTPEDROUSE,Commune simple,131,6427.48344198342,633688.989548776,6151796.54282895,847
66102,MANTET,Commune simple,32,3220.61112249196,641905.31413603,6150645.48375543,848
66150,PRATS-DE-MOLLO-LA-PRESTE,Commune simple,1075,11938.7962549698,653910.471378732,6146823.94042659,849
66009,ARLES-SUR-TECH,Commune simple,2687,2919.54060849258,669163.397805606,6150015.64957003,850
66003,AMELIE-LES-BAINS-PALALDA,Commune simple,3616,2979.75085449246,673895.096889186,6149434.46859174,851
66106,MAUREILLAS-LAS-ILLAS,Commune simple,2673,4268.95288998924,683560.221834642,6151091.52766206,852
66016,BANYULS-SUR-MER,Commune simple,4681,4325.43773198918,708204.475213647,6151263.59263168,854
2A212,PIANA,Commune simple,482,6342.5722429833,1165114.90778386,6141687.15436125,894
2A198,OTA,Commune simple,596,3840.98371899076,1173546.16803311,6145540.79175164,895
2A282,SOCCIA,Commune simple,155,2789.28904549231,1189487.407514,6141633.25364741,896
2B096,CORTE,Sous-préfecture,7332,14930.7422764648,1202258.38782255,6149385.4074274,897
2B341,VENACO,Commune simple,763,5361.2114129872,1207159.47839777,6143475.04622003,898
2B356,ZALANA,Commune simple,137,1349.3408819966,1226970.07032583,6149514.86677482,899
2B143,LINGUIZZETTA,Commune simple,1099,6525.18599998438,1237870.06399165,6146345.06597662,900
66146,PORTA,Commune simple,124,6510.50906848321,600598.204191191,6158093.06280123,944
66066,ENVEITG,Commune simple,673,3041.67808299322,608860.990784518,6155796.33653332,945
66124,FONT-ROMEU-ODEILLO-VIA,Commune simple,1877,3027.16889499255,619903.340889149,6157500.25593001,946
66027,LA CABANASSE,Commune simple,684,341.119342499331,626418.392646085,6156194.26357481,947
66166,SAHORRE,Commune simple,369,1518.49747649595,647257.639800055,6158376.02311509,948
66222,VERNET-LES-BAINS,Commune simple,1379,1652.4022904961,651964.891206355,6159995.40375256,949
66060,CORSAVY,Commune simple,246,4723.77509498831,662158.189998405,6153760.65637086,950
66049,CERET,Sous-préfecture,7663,3814.50960499008,679603.286576315,6152780.89680597,951
66024,LE BOULOU,Commune simple,5547,1472.16530199641,686143.157550377,6158563.61934644,952
66008,ARGELES-SUR-MER,Commune simple,9914,5900.07065698513,702004.577145609,6159456.30895986,953
66148,PORT-VENDRES,Commune simple,4214,1508.76630049657,708587.194392352,6155890.01884716,954
2B121,GALERIA,Commune simple,329,13698.6660679652,1170119.97130033,6162313.31571542,994
2B153,MANSO,Commune simple,108,12123.8000689706,1179624.71258407,6158880.94307945,995
2B007,ALBERTACCE,Commune simple,212,9745.76697547526,1188775.46196906,6152958.94724308,996
2B047,CALACUCCIA,Commune simple,292,1840.34965799529,1197752.14722264,6154947.58333011,997
2B083,CASTIRLA,Commune simple,172,2451.24779399381,1204887.26410432,6160494.32643976,998
2B208,PERELLI,Commune simple,113,657.626175998109,1226978.94414354,6156295.55711761,999
2B087,CERVIONE,Commune simple,1685,1156.96138999741,1237432.57930822,6157890.90817772,1000
09139,L'HOSPITALET-PRES-L'ANDORRE,Commune simple,90,2678.05913699306,599524.821150511,6166967.33702173,1044
66005,ANGOUSTRINE-VILLENEUVE-DES-ESCALDES,Commune simple,714,8700.64714997926,613715.51872234,6163314.28088643,1045
66004,LES ANGLES,Commune simple,528,4357.84796248883,622095.809239155,6164907.93487233,1046
66105,MATEMALE,Commune simple,275,1940.54168899564,627287.04313228,6164544.82318074,1047
66085,FUILLA,Commune simple,453,974.980489997157,646986.534452923,6162977.78000727,1048
