initiales_club,alias_club,col_club,club_domicile_actuel,stade,ville,logo_png,capacite_stade,x.ctr,y.ctr
SRFC,staderennais,#FF2800,Stade Rennais FC,Stade de la Route de Lorient,Rennes,./logos_clubs/SRFC.png,29778,351799.966339505,6789600.03980575
FCN,FCNantes,#FFEF00,FC Nantes,Stade de La Beaujoire - Louis Fonteneau,Nantes,./logos_clubs/FCN.png,37473,355500.026715641,6689499.94968666
FCL,FCLorient,#FF8C00,FC Lorient,Stade Yves Allainmat - Le Moustoir,Lorient,./logos_clubs/FCL.png,18500,223400.021218137,6757600.00593585
EAG,EAGuingamp,#000000,EA Guingamp,Stade Municipal de Roudourou,Guingamp,./logos_clubs/EAG.png,19033,246499.983098697,6846799.94615171
SB,SB29,#FF4040,Stade Brestois 29,Stade Francis Le Blé,Brest,./logos_clubs/SB29.png,16000,146500.041112554,6836200.04964132
SCO,AngersSCO,#000000,Angers SCO,Stade Jean Bouin,Angers,./logos_clubs/SCO.png,17835,432199.98099204,6713999.97623093
FCGB,girondins,#0018A8,FC Girondins de Bordeaux,Stade Jacques Chaban-Delmas,Bordeaux,./logos_clubs/FCGB.png,42115,417200.034259154,6421799.99639696
SMC,SMCaen,#5D8AA8,SM Caen,Stade Michel d'Ornano,Caen,./logos_clubs/SMC.png,20453,454299.999651515,6903199.97050318
DFCO,DFCO_Officiel,#FF0800,Dijon FCO,Stade Gaston Gérard,Dijon,./logos_clubs/DFCO.png,15459,854200.00035006,6693399.98068024
LOSC,losclive,#ED2939,Lille OSC,Stade Grimonprez-Jooris,Lille,./logos_clubs/LOSC.png,50157,704000.004992316,7059399.96401094
OL,OL,#AB274F,Olympique Lyonnais,Stade Municipal de Gerland,Lyon,./logos_clubs/OL.png,59286,842651.321058366,6519246.4171002
OM,OM_Officiel,#89CFF0,Olympique de Marseille,Stade Vélodrome,Marseille,./logos_clubs/OM.png,67394,893320.696064117,6245272.67648896
ASM,AS_Monaco,#FF0000,AS Monaco,Stade Louis II,Monaco,./logos_clubs/ASM.png,18523,1055710.86873469,6302001.36170073
MHSC,MontpellierHSC,#ED872D,Montpellier Hérault SC,Stade de la Mosson - Mondial 98,Montpellier,./logos_clubs/MHSC.png,32900,770700.029804463,6279499.97202122
OGCN,ogcnice,#B5651D,OGC Nice,Stade du Ray - Léon Lagrange,Nice,./logos_clubs/OGCN.png,35624,1043899.96855825,6298499.99533322
NO,nimesolympique,#CE2029,Nîmes Olympique,Stade des Costières,Nîmes,./logos_clubs/NO.png,18482,809299.960402407,6305100.04673613
PSG,PSG_inside,#554177,Paris Saint-Germain FC,Parc des Princes,Paris,./logos_clubs/PSG.png,48583,652082.270345987,6862294.20282175
SR,StadeDeReims,#CB4154,Stade de Reims,Stade Auguste Delaune,Reims,./logos_clubs/SR.png,21628,774800.011034322,6907700.04630036
