date_fmt_3h,total_croix_de_chavaux,cdc_vers_mairie,cdc_vers_paris,jour,dt.3h.txt,temp,n,ff,vv,u,pres,rafper,etat_sol,ssfrai,date.ok,rr3
2018-06-26T15:00:00Z,129,24,105,2018-06-26,2018-06-26 15:00:00,26.9,0,3.8,18480,39,101190,10.1,0,0,2018-06-26T13:00:00Z,0
2018-06-26T18:00:00Z,203,34,169,2018-06-26,2018-06-26 18:00:00,25.3,0,5.4,30000,31,101150,8.7,0,0,2018-06-26T16:00:00Z,0
2018-06-26T21:00:00Z,109,10,99,2018-06-26,2018-06-26 21:00:00,20.4,0,4.8,30000,51,101170,7.9,0,0,2018-06-26T19:00:00Z,0
2018-06-27T00:00:00Z,23,10,13,2018-06-27,2018-06-27 00:00:00,17.1,0,3.5,40220,62,101160,6.1,0,0,2018-06-26T22:00:00Z,0
2018-06-27T03:00:00Z,24,2,22,2018-06-27,2018-06-27 03:00:00,15,0,3.7,29530,73,101180,5.8,0,0,2018-06-27T01:00:00Z,0
2018-06-27T06:00:00Z,119,8,111,2018-06-27,2018-06-27 06:00:00,17.7,0,4.5,20000,68,101180,8.1,0,0,2018-06-27T04:00:00Z,0
2018-06-27T09:00:00Z,177,17,160,2018-06-27,2018-06-27 09:00:00,23.3,0,2.6,20000,58,101150,6,0,0,2018-06-27T07:00:00Z,0
2018-06-27T12:00:00Z,127,15,112,2018-06-27,2018-06-27 12:00:00,27,10,5,16340,46,101070,9.2,0,0,2018-06-27T10:00:00Z,0
2018-06-27T15:00:00Z,154,17,137,2018-06-27,2018-06-27 15:00:00,28.2,10,5.2,25000,39,100930,9.8,0,0,2018-06-27T13:00:00Z,0
2018-06-27T18:00:00Z,164,32,132,2018-06-27,2018-06-27 18:00:00,26.9,10,5.3,19670,44,100840,9.9,0,0,2018-06-27T16:00:00Z,0
2018-06-27T21:00:00Z,95,9,86,2018-06-27,2018-06-27 21:00:00,23.1,0,5.1,35990,54,100940,11,0,0,2018-06-27T19:00:00Z,0
2018-06-28T00:00:00Z,33,8,25,2018-06-28,2018-06-28 00:00:00,20.4,0,4.2,30000,63,100940,8.3,0,0,2018-06-27T22:00:00Z,0
2018-06-28T03:00:00Z,27,3,24,2018-06-28,2018-06-28 03:00:00,17.5,10,4,20000,74,100900,6.5,0,0,2018-06-28T01:00:00Z,0
2018-06-28T06:00:00Z,141,8,133,2018-06-28,2018-06-28 06:00:00,19.5,10,4.4,19510,64,100950,6.5,0,0,2018-06-28T04:00:00Z,0
2018-06-28T09:00:00Z,132,62,70,2018-06-28,2018-06-28 09:00:00,24,10,4.2,18920,48,100950,8.3,0,0,2018-06-28T07:00:00Z,0
2018-06-28T12:00:00Z,106,19,87,2018-06-28,2018-06-28 12:00:00,26.4,0,7.4,9460,34,100850,13,0,,2018-06-28T10:00:00Z,0
2018-06-28T15:00:00Z,122,21,101,2018-06-28,2018-06-28 15:00:00,27.4,10,7.2,9460,32,100700,12.1,0,0,2018-06-28T13:00:00Z,0
2018-06-28T18:00:00Z,120,18,102,2018-06-28,2018-06-28 18:00:00,26.4,10,6.7,30000,39,100630,11.5,0,0,2018-06-28T16:00:00Z,0
2018-06-28T21:00:00Z,61,14,47,2018-06-28,2018-06-28 21:00:00,22.1,10,3.8,45060,50,100710,5.8,0,0,2018-06-28T19:00:00Z,0
2018-06-29T00:00:00Z,29,10,19,2018-06-29,2018-06-29 00:00:00,20.3,0,4.5,30000,57,100720,7.9,0,0,2018-06-28T22:00:00Z,0
2018-06-29T03:00:00Z,19,3,16,2018-06-29,2018-06-29 03:00:00,18.6,0,3.3,30000,63,100670,6.9,0,0,2018-06-29T01:00:00Z,0
2018-06-29T06:00:00Z,96,11,85,2018-06-29,2018-06-29 06:00:00,19.2,60,3.5,23720,63,100670,8,0,0,2018-06-29T04:00:00Z,0
2018-06-29T09:00:00Z,147,23,124,2018-06-29,2018-06-29 09:00:00,24.6,40,4.2,13700,53,100640,8.2,0,0,2018-06-29T07:00:00Z,0
2018-06-29T12:00:00Z,107,19,88,2018-06-29,2018-06-29 12:00:00,28.3,40,7.3,12750,43,100510,13.7,0,0,2018-06-29T10:00:00Z,0
2018-06-29T15:00:00Z,130,32,98,2018-06-29,2018-06-29 15:00:00,27.9,75,7.4,35000,39,100390,11.4,0,0,2018-06-29T13:00:00Z,0
2018-06-29T18:00:00Z,142,32,110,2018-06-29,2018-06-29 18:00:00,27.5,50,6.4,35000,44,100300,11,0,0,2018-06-29T16:00:00Z,0
2018-06-29T21:00:00Z,59,3,56,2018-06-29,2018-06-29 21:00:00,24.5,25,6.6,35000,46,100340,9.9,0,0,2018-06-29T19:00:00Z,0
2018-06-30T00:00:00Z,36,9,27,2018-06-30,2018-06-30 00:00:00,21.7,75,5.6,40670,61,100330,9.6,0,,2018-06-29T22:00:00Z,0
2018-06-30T03:00:00Z,9,3,6,2018-06-30,2018-06-30 03:00:00,18.7,0,4.7,19860,73,100280,7.4,0,0,2018-06-30T01:00:00Z,0
2018-06-30T06:00:00Z,37,2,35,2018-06-30,2018-06-30 06:00:00,20.4,0,4.4,35000,67,100260,7.4,0,0,2018-06-30T04:00:00Z,0
2018-06-30T09:00:00Z,105,16,89,2018-06-30,2018-06-30 09:00:00,25.5,0,3.8,19190,55,100200,7.1,0,0,2018-06-30T07:00:00Z,0
2018-06-30T12:00:00Z,105,23,82,2018-06-30,2018-06-30 12:00:00,29.3,0,4.5,16970,47,100090,8,0,,2018-06-30T10:00:00Z,0
2018-06-30T15:00:00Z,102,22,80,2018-06-30,2018-06-30 15:00:00,30.3,40,4.6,35000,43,99970,8.6,0,0,2018-06-30T13:00:00Z,0
2018-06-30T18:00:00Z,109,20,89,2018-06-30,2018-06-30 18:00:00,30.5,10,3,35000,39,99900,7.4,0,0,2018-06-30T16:00:00Z,0
2018-06-30T21:00:00Z,70,13,57,2018-06-30,2018-06-30 21:00:00,25.9,10,3.6,35000,54,99950,5.7,0,0,2018-06-30T19:00:00Z,0
2018-07-01T00:00:00Z,68,18,50,2018-07-01,2018-07-01 00:00:00,23,0,2.2,35000,65,99960,4.5,0,0,2018-06-30T22:00:00Z,0
2018-07-01T03:00:00Z,30,3,27,2018-07-01,2018-07-01 03:00:00,19.9,10,1.9,35000,73,99950,2.8,0,0,2018-07-01T01:00:00Z,0
2018-07-01T06:00:00Z,25,1,24,2018-07-01,2018-07-01 06:00:00,22.7,10,3.3,30000,63,100010,5.5,0,0,2018-07-01T04:00:00Z,0
2018-07-01T09:00:00Z,90,10,80,2018-07-01,2018-07-01 09:00:00,27.5,25,3.1,23190,54,100010,7.2,0,0,2018-07-01T07:00:00Z,0
2018-07-01T12:00:00Z,108,35,73,2018-07-01,2018-07-01 12:00:00,31.1,40,3.8,18200,42,99970,7.2,0,0,2018-07-01T10:00:00Z,0
2018-07-01T15:00:00Z,89,17,72,2018-07-01,2018-07-01 15:00:00,31.2,90,3.7,19640,47,99940,7.8,0,,2018-07-01T13:00:00Z,0
2018-07-01T18:00:00Z,111,18,93,2018-07-01,2018-07-01 18:00:00,30.2000000000001,75,5.8,30000,37,99900,9.8,0,0,2018-07-01T16:00:00Z,0
2018-07-01T21:00:00Z,42,10,32,2018-07-01,2018-07-01 21:00:00,27.3,100,5.4,19660,41,100020,10.2,,,2018-07-01T19:00:00Z,0
2018-07-02T00:00:00Z,9,1,8,2018-07-02,2018-07-02 00:00:00,23.6,75,1.3,30000,44,100140,5.3,0,0,2018-07-01T22:00:00Z,0.2
2018-07-02T03:00:00Z,17,1,16,2018-07-02,2018-07-02 03:00:00,20.2,100,2.5,57390,65,99990,3.2,,,2018-07-02T01:00:00Z,0
2018-07-02T06:00:00Z,105,6,99,2018-07-02,2018-07-02 06:00:00,20.6,50,3.9,30000,51,100030,7,0,0,2018-07-02T04:00:00Z,0
2018-07-02T09:00:00Z,99,13,86,2018-07-02,2018-07-02 09:00:00,21.2,90,4.3,30000,56,100350,7.3,0,0,2018-07-02T07:00:00Z,0
2018-07-02T12:00:00Z,21,2,19,2018-07-02,2018-07-02 12:00:00,27.3,75,3.2,19810,40,100120,10.9,0,0,2018-07-02T10:00:00Z,0
2018-07-02T15:00:00Z,113,20,93,2018-07-02,2018-07-02 15:00:00,29.4,50,1.7,30000,41,100190,7,0,0,2018-07-02T13:00:00Z,0
2018-07-02T18:00:00Z,160,44,116,2018-07-02,2018-07-02 18:00:00,27.4,60,3.2,30000,55,100190,5.8,0,0,2018-07-02T16:00:00Z,0
2018-07-02T21:00:00Z,56,11,45,2018-07-02,2018-07-02 21:00:00,24.2000000000001,40,1.8,30000,59,100340,4.6,0,0,2018-07-02T19:00:00Z,0
2018-07-03T00:00:00Z,23,8,15,2018-07-03,2018-07-03 00:00:00,19.2,0,2.2,59370,78,100380,3.7,0,0,2018-07-02T22:00:00Z,0
2018-07-03T03:00:00Z,14,4,10,2018-07-03,2018-07-03 03:00:00,17.5,0,1.6,34970,91,100420,2.5,0,0,2018-07-03T01:00:00Z,0
2018-07-03T06:00:00Z,106,9,97,2018-07-03,2018-07-03 06:00:00,20.4,25,2.8,30000,83,100500,4,0,0,2018-07-03T04:00:00Z,0
2018-07-03T09:00:00Z,120,19,101,2018-07-03,2018-07-03 09:00:00,25.5,40,3.1,35000,59,100550,7.4,0,0,2018-07-03T07:00:00Z,0
2018-07-03T12:00:00Z,54,18,36,2018-07-03,2018-07-03 12:00:00,28.2,60,2.7,35000,47,100520,8.2,0,0,2018-07-03T10:00:00Z,0
2018-07-03T15:00:00Z,48,23,25,2018-07-03,2018-07-03 15:00:00,30,60,3.1,19180,40,100410,8.2,0,0,2018-07-03T13:00:00Z,0
2018-07-03T18:00:00Z,51,32,19,2018-07-03,2018-07-03 18:00:00,27.8,40,4.1,35000,43,100370,8.4,0,0,2018-07-03T16:00:00Z,0
2018-07-03T21:00:00Z,28,15,13,2018-07-03,2018-07-03 21:00:00,24,40,6.1,25000,58,100460,11.3,0,0,2018-07-03T19:00:00Z,0
2018-07-04T00:00:00Z,12,9,3,2018-07-04,2018-07-04 00:00:00,20.6,10,2.1,25000,77,100510,4.3,0,0,2018-07-03T22:00:00Z,0
2018-07-04T03:00:00Z,10,0,10,2018-07-04,2018-07-04 03:00:00,17.3,25,2.3,18040,89,100490,3.5,0,0,2018-07-04T01:00:00Z,0
2018-07-04T06:00:00Z,59,7,52,2018-07-04,2018-07-04 06:00:00,20.5,75,1.3,30000,84,100510,2.6,0,0,2018-07-04T04:00:00Z,0
2018-07-04T09:00:00Z,49,12,37,2018-07-04,2018-07-04 09:00:00,24.6,60,1.4,30000,62,100530,4.3,0,0,2018-07-04T07:00:00Z,0
2018-07-04T12:00:00Z,15,2,13,2018-07-04,2018-07-04 12:00:00,28.3,90,3.2,19610,49,100410,9.5,,,2018-07-04T10:00:00Z,0
2018-07-04T15:00:00Z,72,23,49,2018-07-04,2018-07-04 15:00:00,30.2000000000001,0,2.8,13300,37,100300,10.3,0,,2018-07-04T13:00:00Z,0
2018-07-04T18:00:00Z,165,69,96,2018-07-04,2018-07-04 18:00:00,28,50,4.3,30000,34,100150,8.2,0,0,2018-07-04T16:00:00Z,0
2018-07-04T21:00:00Z,66,20,46,2018-07-04,2018-07-04 21:00:00,23.6,75,3.4,30000,61,100340,11,0,0,2018-07-04T19:00:00Z,0
2018-07-05T00:00:00Z,16,4,12,2018-07-05,2018-07-05 00:00:00,21.3,90,2,30000,72,100330,5.7,0,0,2018-07-04T22:00:00Z,0
2018-07-05T03:00:00Z,13,3,10,2018-07-05,2018-07-05 03:00:00,20.1,90,3,30000,77,100250,4.8,0,0,2018-07-05T01:00:00Z,0
