titres.p,geos.clean.lat,geos.clean.long,imgs.p,liens_url,lat.wgs84,lon.wgs84,liens_url_titre,liens_img,views,num_vueswiki
Lac d'Annecy,45° 51′ 24″ N, 6° 10′ 20″ E,//upload.wikimedia.org/wikipedia/commons/thumb/2/28/LacAnnecy.jpg/200px-LacAnnecy.jpg,http://fr.wikipedia.org/wiki/Lac_d'Annecy,45.8566666666667,6.17222222222222,Lac_d'Annecy,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/LacAnnecy.jpg/200px-LacAnnecy.jpg,185761,1
Lac de Serre-Ponçon,44° 31′ N, 6° 21′ E,//upload.wikimedia.org/wikipedia/commons/thumb/0/05/Lac_Serre_Poncon_-_Belv%C3%A9d%C3%A8re_Pierre_Arnoux.jpg/280px-Lac_Serre_Poncon_-_Belv%C3%A9d%C3%A8re_Pierre_Arnoux.jpg,http://fr.wikipedia.org/wiki/Lac_de_Serre-Ponçon,44.5166666666667,6.35,Lac_de_Serre-Ponçon,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Lac_Serre_Poncon_-_Belv%C3%A9d%C3%A8re_Pierre_Arnoux.jpg/280px-Lac_Serre_Poncon_-_Belv%C3%A9d%C3%A8re_Pierre_Arnoux.jpg,165309,2
Léman,46° 26′ N, 6° 33′ E,//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Le_L%C3%A9man_%C3%A0_Montreux.jpg/278px-Le_L%C3%A9man_%C3%A0_Montreux.jpg,http://fr.wikipedia.org/wiki/Lac_Léman,46.4333333333333,6.55,Lac_Léman,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Le_L%C3%A9man_%C3%A0_Montreux.jpg/278px-Le_L%C3%A9man_%C3%A0_Montreux.jpg,164837,3
Lac de Sainte-Croix,43° 45′ 49″ N, 6° 11′ 02″ E,//upload.wikimedia.org/wikipedia/commons/thumb/4/47/Lac_Sainte-Croix-1.JPG/280px-Lac_Sainte-Croix-1.JPG,http://fr.wikipedia.org/wiki/Lac_de_Sainte-Croix,43.7636111111111,6.18388888888889,Lac_de_Sainte-Croix,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Lac_Sainte-Croix-1.JPG/280px-Lac_Sainte-Croix-1.JPG,143914,4
Lac du Bourget,45° 43′ 55″ N, 5° 52′ 06″ E,//upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Belv%C3%A9d%C3%A8re_Lac_du_Bourget%2C_Grande_Molli%C3%A8re_%28%C3%A9t%C3%A9_2016%29.JPG/280px-Belv%C3%A9d%C3%A8re_Lac_du_Bourget%2C_Grande_Molli%C3%A8re_%28%C3%A9t%C3%A9_2016%29.JPG,http://fr.wikipedia.org/wiki/Lac_du_Bourget,45.7319444444445,5.86833333333333,Lac_du_Bourget,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Belv%C3%A9d%C3%A8re_Lac_du_Bourget%2C_Grande_Molli%C3%A8re_%28%C3%A9t%C3%A9_2016%29.JPG/280px-Belv%C3%A9d%C3%A8re_Lac_du_Bourget%2C_Grande_Molli%C3%A8re_%28%C3%A9t%C3%A9_2016%29.JPG,131024,5
Lac du Der-Chantecoq,48° 34′ N, 4° 46′ E,//upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Lac-du-der.jpg/280px-Lac-du-der.jpg,http://fr.wikipedia.org/wiki/Lac_du_Der-Chantecoq,48.5666666666667,4.76666666666667,Lac_du_Der-Chantecoq,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Lac-du-der.jpg/280px-Lac-du-der.jpg,110638,6
Lac du Salagou,43° 39′ 21″ N, 3° 21′ 55″ E,//upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Presqu%27%C3%AEle_du_Rouens%2C_Clermont-l%27H%C3%A9rault_02.jpg/280px-Presqu%27%C3%AEle_du_Rouens%2C_Clermont-l%27H%C3%A9rault_02.jpg,http://fr.wikipedia.org/wiki/Lac_du_Salagou,43.6558333333333,3.36527777777778,Lac_du_Salagou,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Presqu%27%C3%AEle_du_Rouens%2C_Clermont-l%27H%C3%A9rault_02.jpg/280px-Presqu%27%C3%AEle_du_Rouens%2C_Clermont-l%27H%C3%A9rault_02.jpg,95168,7
Lac d'Aiguebelette,45° 33′ 28″ N, 5° 48′ 05″ E,//upload.wikimedia.org/wikipedia/commons/thumb/0/02/Lac_Aiguebelette_panoramique.JPG/280px-Lac_Aiguebelette_panoramique.JPG,http://fr.wikipedia.org/wiki/Lac_d'Aiguebelette,45.5577777777778,5.80138888888889,Lac_d'Aiguebelette,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Lac_Aiguebelette_panoramique.JPG/280px-Lac_Aiguebelette_panoramique.JPG,91933,8
Lac Pavin,45° 29′ 45″ N, 2° 53′ 18″ E,//upload.wikimedia.org/wikipedia/commons/thumb/d/de/Lac_Pavin_Vue_g%C3%A9n%C3%A9.JPG/250px-Lac_Pavin_Vue_g%C3%A9n%C3%A9.JPG,http://fr.wikipedia.org/wiki/Lac_Pavin,45.4958333333333,2.88833333333333,Lac_Pavin,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Lac_Pavin_Vue_g%C3%A9n%C3%A9.JPG/250px-Lac_Pavin_Vue_g%C3%A9n%C3%A9.JPG,79453,9
Étang de Berre,43° 26′ 45″ N, 5° 06′ 50″ E,//upload.wikimedia.org/wikipedia/commons/thumb/e/e4/%C3%89tang_de_Berre_SPOT_1293.jpg/280px-%C3%89tang_de_Berre_SPOT_1293.jpg,http://fr.wikipedia.org/wiki/Étang_de_Berre,43.4458333333333,5.11388888888889,Étang_de_Berre,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/%C3%89tang_de_Berre_SPOT_1293.jpg/280px-%C3%89tang_de_Berre_SPOT_1293.jpg,78999,10
Étang de Thau,43° 24′ 21″ N, 3° 37′ 23″ E,//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Barrou_Neighbourhood%2C_%C3%89tang_de_Thau%2C_S%C3%A8te_01.jpg/250px-Barrou_Neighbourhood%2C_%C3%89tang_de_Thau%2C_S%C3%A8te_01.jpg,http://fr.wikipedia.org/wiki/Étang_de_Thau,43.4058333333333,3.62305555555556,Étang_de_Thau,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Barrou_Neighbourhood%2C_%C3%89tang_de_Thau%2C_S%C3%A8te_01.jpg/250px-Barrou_Neighbourhood%2C_%C3%89tang_de_Thau%2C_S%C3%A8te_01.jpg,75315,11
Lac de Vassivière,45° 48′ 52″ N, 1° 51′ 08″ E,//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Lac_de_Vassivi%C3%A8re%2C_depuis_l%27%C3%AEle.jpg/280px-Lac_de_Vassivi%C3%A8re%2C_depuis_l%27%C3%AEle.jpg,http://fr.wikipedia.org/wiki/Lac_de_Vassivière,45.8144444444444,1.85222222222222,Lac_de_Vassivière,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Lac_de_Vassivi%C3%A8re%2C_depuis_l%27%C3%AEle.jpg/280px-Lac_de_Vassivi%C3%A8re%2C_depuis_l%27%C3%AEle.jpg,74667,12
Lac d'Orient,48° 16′ 19″ N, 4° 20′ 23″ E,//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Lac_de_la_foret_d%27Orient.jpg/280px-Lac_de_la_foret_d%27Orient.jpg,http://fr.wikipedia.org/wiki/Lac_d'Orient,48.2719444444444,4.33972222222222,Lac_d'Orient,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Lac_de_la_foret_d%27Orient.jpg/280px-Lac_de_la_foret_d%27Orient.jpg,68874,13
Lac de Guerlédan,48° 12′ 14″ N, 3° 03′ 00″ O,//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Lac_Guerledan.JPG/280px-Lac_Guerledan.JPG,http://fr.wikipedia.org/wiki/Lac_de_Guerlédan,48.2038888888889,-3.05,Lac_de_Guerlédan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Lac_Guerledan.JPG/280px-Lac_Guerledan.JPG,66789,14
Lac de Saint-Ferréol,43° 26′ 15″ N, 2° 01′ 18″ E,//upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Lac_de_Saint-F%C3%A9r%C3%A9ol_1.JPG/280px-Lac_de_Saint-F%C3%A9r%C3%A9ol_1.JPG,http://fr.wikipedia.org/wiki/Lac_de_Saint-Ferréol,43.4375,2.02166666666667,Lac_de_Saint-Ferréol,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Lac_de_Saint-F%C3%A9r%C3%A9ol_1.JPG/280px-Lac_de_Saint-F%C3%A9r%C3%A9ol_1.JPG,60332,15
Lac de Saint-Cassien,43° 34′ 56″ N, 6° 48′ 27″ E,//upload.wikimedia.org/wikipedia/commons/thumb/8/88/St-Cassien-avion.jpg/200px-St-Cassien-avion.jpg,http://fr.wikipedia.org/wiki/Lac_de_Saint-Cassien,43.5822222222222,6.8075,Lac_de_Saint-Cassien,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/St-Cassien-avion.jpg/200px-St-Cassien-avion.jpg,57394,16
Lac de Pierre-Percée,48° 28′ N, 6° 55′ E,//upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Lac_de_pierre_perc%C3%A9e.JPG/280px-Lac_de_pierre_perc%C3%A9e.JPG,http://fr.wikipedia.org/wiki/Lac_de_Pierre-Percée,48.4666666666667,6.91666666666667,Lac_de_Pierre-Percée,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Lac_de_pierre_perc%C3%A9e.JPG/280px-Lac_de_pierre_perc%C3%A9e.JPG,55229,17
Lac de Paladru,45° 27′ 18″ N, 5° 32′ 06″ E,//upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Le_lac_de_Paladru_en_mai_2017.jpg/280px-Le_lac_de_Paladru_en_mai_2017.jpg,http://fr.wikipedia.org/wiki/Lac_de_Paladru,45.455,5.535,Lac_de_Paladru,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Le_lac_de_Paladru_en_mai_2017.jpg/280px-Le_lac_de_Paladru_en_mai_2017.jpg,54145,18
Barrage du Chevril,45° 29′ 42″ N, 6° 55′ 56″ E,//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Barrage_de_Tignes_France.jpg/280px-Barrage_de_Tignes_France.jpg,http://fr.wikipedia.org/wiki/Barrage_du_Chevril,45.495,6.93222222222222,Barrage_du_Chevril,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Barrage_de_Tignes_France.jpg/280px-Barrage_de_Tignes_France.jpg,52244,19
Lac d'Oô,42° 44′ 24″ N, 0° 29′ 31″ E,//upload.wikimedia.org/wikipedia/commons/thumb/3/33/Oo%2C_le_Lac.jpg/280px-Oo%2C_le_Lac.jpg,http://fr.wikipedia.org/wiki/Lac_d'Oô,42.74,0.491944444444444,Lac_d'Oô,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Oo%2C_le_Lac.jpg/280px-Oo%2C_le_Lac.jpg,47396,20
Lac de Vouglans,46° 30′ 05″ N, 5° 40′ 41″ E,//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Le_lac_de_Vouglans.jpg/280px-Le_lac_de_Vouglans.jpg,http://fr.wikipedia.org/wiki/Lac_de_Vouglans,46.5013888888889,5.67805555555556,Lac_de_Vouglans,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Le_lac_de_Vouglans.jpg/280px-Le_lac_de_Vouglans.jpg,47282,21
Lac de Grand-Lieu,47° 05′ 45″ N, 1° 40′ 35″ O,//upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Lake_Grand-Lieu_SPOT_1249.jpg/260px-Lake_Grand-Lieu_SPOT_1249.jpg,http://fr.wikipedia.org/wiki/Lac_de_Grand-Lieu,47.0958333333333,-1.67638888888889,Lac_de_Grand-Lieu,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Lake_Grand-Lieu_SPOT_1249.jpg/260px-Lake_Grand-Lieu_SPOT_1249.jpg,47181,22
Lac de Gérardmer,48° 04′ 10″ N, 6° 51′ 10″ E,//upload.wikimedia.org/wikipedia/commons/thumb/0/07/Lac_de_gerardmer.jpg/280px-Lac_de_gerardmer.jpg,http://fr.wikipedia.org/wiki/Lac_de_Gérardmer,48.0694444444445,6.85277777777778,Lac_de_Gérardmer,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Lac_de_gerardmer.jpg/280px-Lac_de_gerardmer.jpg,47020,23
