interval,interval_min,interval_max,type_betail,nb
"0,2000",0,2000,total_bovins,0
"0,2000",0,2000,total_caprins,0
"0,2000",0,2000,total_equides,0
"0,2000",0,2000,total_ovins,0
"0,2000",0,2000,total_population,1143.92143382479
"0,2000",0,2000,total_porcins,0
"2000,4000",2000,4000,total_bovins,0
"2000,4000",2000,4000,total_caprins,0
"2000,4000",2000,4000,total_equides,0
"2000,4000",2000,4000,total_ovins,0
"2000,4000",2000,4000,total_population,679.276456937854
"2000,4000",2000,4000,total_porcins,0
"4000,6000",4000,6000,total_bovins,0
"4000,6000",4000,6000,total_caprins,0
"4000,6000",4000,6000,total_equides,0
"4000,6000",4000,6000,total_ovins,0
"4000,6000",4000,6000,total_population,453.315615176834
"4000,6000",4000,6000,total_porcins,0
"6000,8000",6000,8000,total_bovins,0
"6000,8000",6000,8000,total_caprins,0
"6000,8000",6000,8000,total_equides,0
"6000,8000",6000,8000,total_ovins,0
"6000,8000",6000,8000,total_population,420.008415271221
"6000,8000",6000,8000,total_porcins,0
"8000,10000",8000,10000,total_bovins,0
"8000,10000",8000,10000,total_caprins,0
"8000,10000",8000,10000,total_equides,0
"8000,10000",8000,10000,total_ovins,0
"8000,10000",8000,10000,total_population,340.313688431517
"8000,10000",8000,10000,total_porcins,0
"10000,12000",10000,12000,total_bovins,0
"10000,12000",10000,12000,total_caprins,0
"10000,12000",10000,12000,total_equides,0
"10000,12000",10000,12000,total_ovins,0
"10000,12000",10000,12000,total_population,213.320679130018
"10000,12000",10000,12000,total_porcins,0
"12000,14000",12000,14000,total_bovins,0
"12000,14000",12000,14000,total_caprins,0
"12000,14000",12000,14000,total_equides,0
"12000,14000",12000,14000,total_ovins,0
"12000,14000",12000,14000,total_population,140.066241423704
"12000,14000",12000,14000,total_porcins,0
"14000,16000",14000,16000,total_bovins,0
"14000,16000",14000,16000,total_caprins,0
"14000,16000",14000,16000,total_equides,0
"14000,16000",14000,16000,total_ovins,0
"14000,16000",14000,16000,total_population,145.822840708449
"14000,16000",14000,16000,total_porcins,0
"16000,18000",16000,18000,total_bovins,0
"16000,18000",16000,18000,total_caprins,0
"16000,18000",16000,18000,total_equides,0
"16000,18000",16000,18000,total_ovins,0
"16000,18000",16000,18000,total_population,115.653922929652
"16000,18000",16000,18000,total_porcins,0
