interval,interval_min,interval_max,CODE_CULTU,CODE_GROUP,area_vect,pct_area_vect
"0,2000",0,2000,000,0,0,0
"2000,4000",2000,4000,000,0,0,0
"4000,6000",4000,6000,000,0,0,0
"6000,8000",6000,8000,000,0,0,0
"8000,10000",8000,10000,000,0,0,0
"10000,12000",10000,12000,000,0,1936126.54602415,0.968508794494573
"10000,12000",10000,12000,PPH,18,62953.4386181575,0.0314912055054273
"12000,14000",12000,14000,000,0,1990145.4062407,0.99688406853033
"12000,14000",12000,14000,PPH,18,6220.53947523359,0.0031159314696699
"14000,16000",14000,16000,000,0,3792783.07553622,0.9498710521126
"14000,16000",14000,16000,BTH,1,149626.679683285,0.0374727604569852
"14000,16000",14000,16000,J6S,11,34446.0211576374,0.00862672019634871
"14000,16000",14000,16000,ORH,3,16089.4419245683,0.00402946723406625
"16000,18000",16000,18000,000,0,0,0
"18000,20000",18000,20000,000,0,0,0
"20000,22000",20000,22000,000,0,2585456.25332595,0.646337230636641
"20000,22000",20000,22000,BTA,28,4457.76427011819,0.00111439480342115
"20000,22000",20000,22000,BTH,1,741763.024841444,0.185433057955607
"20000,22000",20000,22000,BTN,24,130672.169293983,0.0326666861657813
"20000,22000",20000,22000,J5M,11,208585.570459984,0.0521442278469964
"20000,22000",20000,22000,MIS,2,277928.766723312,0.0694793072468805
"20000,22000",20000,22000,MLG,16,19613.4490313039,0.00490315870315663
"20000,22000",20000,22000,ORH,3,10589.5901690256,0.0026472876400907
"20000,22000",20000,22000,PPH,18,7485.231861513,0.00187123028123947
"20000,22000",20000,22000,PRL,18,11368.0600413103,0.00284189702895167
"20000,22000",20000,22000,PTR,19,2246.1800112474,0.000561521691234741
"22000,24000",22000,24000,000,0,2557682.73635724,0.639086435836011
"22000,24000",22000,24000,BTA,28,4092.95700549264,0.00102270436731171
"22000,24000",22000,24000,BTH,1,1101739.506662,0.275290896921469
"22000,24000",22000,24000,BTN,24,254658.567507063,0.06363136207229
"22000,24000",22000,24000,FLA,25,43832.8325798161,0.0109524798943314
"22000,24000",22000,24000,J6S,11,8526.96120556537,0.0021306259638512
"22000,24000",22000,24000,MIS,2,14437.6194229675,0.00360751808964486
"22000,24000",22000,24000,MPA,28,8706.5936926119,0.0021755106105179
"22000,24000",22000,24000,ORP,3,2675.45210986165,0.000668513388637347
"22000,24000",22000,24000,PTR,19,3154.68168240599,0.000788258154127995
"22000,24000",22000,24000,SNE,28,304.319496911252,0.0000760401045336123
"22000,24000",22000,24000,VRG,20,2279.810128076,0.000569654597274268
"24000,26000",24000,26000,000,0,2481241.66982791,0.620047687628931
"24000,26000",24000,26000,BOR,28,251.033298932016,0.0000627317437125962
"24000,26000",24000,26000,BTA,28,8798.39126699218,0.00219866618648697
"24000,26000",24000,26000,BTH,1,648018.66242771,0.161936049222711
"24000,26000",24000,26000,BTN,24,387927.890936221,0.0969408964337016
"24000,26000",24000,26000,CZH,5,123253.387299713,0.0308002959634804
"24000,26000",24000,26000,J5M,11,23142.1858308007,0.00578309601420735
"24000,26000",24000,26000,J6S,11,10850.2460603789,0.00271141262125
"24000,26000",24000,26000,MIS,2,147297.990181549,0.0368089006867246
"24000,26000",24000,26000,ORP,3,107755.972015235,0.026927583108375
"24000,26000",24000,26000,PEP,28,14019.6818179982,0.00350343596041012
"24000,26000",24000,26000,PPH,18,1601.45741859474,0.00040019478203618
"24000,26000",24000,26000,SNE,28,5584.18762391294,0.00139545561627355
"24000,26000",24000,26000,TTH,4,41952.144778546,0.0104835940316993
"26000,28000",26000,28000,000,0,1345789.71612338,0.336313470557561
"26000,28000",26000,28000,BOR,28,521.131621725799,0.000130231032545523
"26000,28000",26000,28000,BTA,28,9095.50740800714,0.00227297149489323
"26000,28000",26000,28000,BTH,1,1440155.86094029,0.359895613656359
"26000,28000",26000,28000,BTN,24,419706.552952725,0.104884861095447
"26000,28000",26000,28000,J5M,11,208485.03614594,0.0521005066583014
"26000,28000",26000,28000,J6S,11,64693.1900398317,0.0161668580188058
"26000,28000",26000,28000,MIS,2,204219.732717752,0.0510346053650094
"26000,28000",26000,28000,ORH,3,92954.7146382725,0.0232294260463937
"26000,28000",26000,28000,ORP,3,117655.463568289,0.0294021545926885
"26000,28000",26000,28000,PPH,18,83650.3695323793,0.0209042659145107
"26000,28000",26000,28000,PTR,19,1139.23494168806,0.000284695337190723
"26000,28000",26000,28000,SNE,28,13526.7466729331,0.00338034023029346
"28000,30000",28000,30000,000,0,235686.706907764,0.0588916798399287
"28000,30000",28000,30000,BTA,28,4063.66255818406,0.0010153984392838
"28000,30000",28000,30000,BTH,1,1463805.00634046,0.36576494666381
"28000,30000",28000,30000,BTN,24,735404.642737274,0.183757562490912
"28000,30000",28000,30000,J6S,11,3347.63435504772,0.000836482520568164
"28000,30000",28000,30000,LIF,9,93423.0224886872,0.0233438652619274
"28000,30000",28000,30000,MIS,2,868997.86745211,0.217138865670513
"28000,30000",28000,30000,NOS,22,61097.2489577013,0.0152665361229961
"28000,30000",28000,30000,ORH,3,506838.800555342,0.126645192528571
"28000,30000",28000,30000,PTC,25,20773.8144355752,0.00519080963387876
"28000,30000",28000,30000,SNE,28,8599.02105183667,0.00214866082761195
"30000,32000",30000,32000,000,0,1378376.30909047,0.344106568116577
"30000,32000",30000,32000,AVH,4,37049.1800924949,0.00924919133409497
"30000,32000",30000,32000,BTA,28,8294.12488285906,0.00207059772440096
"30000,32000",30000,32000,BTH,1,1093882.55688706,0.273083750852748
"30000,32000",30000,32000,BTN,24,236146.708199166,0.0589531558214761
"30000,32000",30000,32000,CMB,25,38094.1881720889,0.00951007375172769
"30000,32000",30000,32000,CZH,5,137084.475036416,0.0342226342224135
"30000,32000",30000,32000,FLA,25,54778.9915856919,0.0136753734630548
"30000,32000",30000,32000,J6S,11,3358.55823606387,0.000838451691899866
"30000,32000",30000,32000,LIF,9,233939.55309738,0.0584021476806892
"30000,32000",30000,32000,MIS,2,194584.384442681,0.0485772747964812
"30000,32000",30000,32000,NOS,22,100023.393756598,0.0249704718007431
"30000,32000",30000,32000,ORH,3,135470.121891021,0.0338196169063681
"30000,32000",30000,32000,POT,25,798.605732392989,0.000199368979312557
"30000,32000",30000,32000,PPH,18,15758.0042458847,0.00393392771310459
"30000,32000",30000,32000,PTC,25,143633.902574761,0.0358576746816008
"30000,32000",30000,32000,PTR,19,17800.4821288209,0.00444382479281786
"30000,32000",30000,32000,SNE,28,47572.9666515092,0.0118764158826678
"30000,32000",30000,32000,TTH,4,69990.7058827389,0.0174729219027698
"30000,32000",30000,32000,VRG,20,59029.7429586253,0.0147365578850521
"32000,34000",32000,34000,000,0,3324210.57310453,0.832326978656802
"32000,34000",32000,34000,AVH,4,180509.433189598,0.0451965565482922
"32000,34000",32000,34000,BTA,28,15538.2331402533,0.00389051486326687
"32000,34000",32000,34000,BTH,1,301043.314151356,0.0753762334250749
"32000,34000",32000,34000,CZH,5,67652.7335200068,0.016939118040285
"32000,34000",32000,34000,MCT,28,21215.2938705888,0.00531195634581362
"32000,34000",32000,34000,MIS,2,31159.7014150023,0.00780187041832788
"32000,34000",32000,34000,SNE,28,52546.5120339478,0.0131567717021378
"34000,36000",34000,36000,000,0,2113372.7241096,0.528165181715629
"34000,36000",34000,36000,BTA,28,5199.74538493413,0.00129949839646284
"34000,36000",34000,36000,BTH,1,987209.981016244,0.246719347262611
"34000,36000",34000,36000,BTN,24,277501.253535967,0.0693519407760359
"34000,36000",34000,36000,CZH,5,232310.836847065,0.0580581427772211
"34000,36000",34000,36000,J5M,11,1042.89245997148,0.000260635277131612
"34000,36000",34000,36000,J6S,11,20938.9939873062,0.00523298490516266
"34000,36000",34000,36000,MIS,2,50177.446371509,0.0125401353857257
"34000,36000",34000,36000,ORH,3,234132.473536301,0.0585133985217541
"34000,36000",34000,36000,PPH,18,9666.49778914312,0.00241581028424957
"34000,36000",34000,36000,PTR,19,65053.7205543523,0.0162579509737655
"34000,36000",34000,36000,SNE,28,4741.49231019826,0.00118497372425123
"36000,38000",36000,38000,000,0,679550.715903811,0.169803383100671
"36000,38000",36000,38000,BOR,28,626.328876343556,0.000156504525192542
"36000,38000",36000,38000,BTA,28,3516.39625146045,0.000878662866282701
"36000,38000",36000,38000,BTH,1,2160683.47338513,0.53990284316386
"36000,38000",36000,38000,BTN,24,262247.526828997,0.0655293508242747
"36000,38000",36000,38000,CZH,5,521364.083576322,0.130276347513953
"36000,38000",36000,38000,J5M,11,901.416858254932,0.000225242396974138
"36000,38000",36000,38000,J6P,11,7991.80964693331,0.00199696105586613
"36000,38000",36000,38000,J6S,11,53947.5190267424,0.0134801877567668
"36000,38000",36000,38000,LIF,9,19320.7765477598,0.00482779746259012
"36000,38000",36000,38000,MIS,2,4562.9894375435,0.00114018133660121
"36000,38000",36000,38000,ORP,3,146003.498092325,0.036482763302862
"36000,38000",36000,38000,PPH,18,41379.4665826132,0.010339733668419
"36000,38000",36000,38000,PRL,18,3951.23209311278,0.000987317886839613
"36000,38000",36000,38000,PTR,19,78016.7599000953,0.0194945122704633
"36000,38000",36000,38000,SNE,28,17921.7359866953,0.00447821086838303
"38000,40000",38000,40000,000,0,2125425.12528792,0.530356183969344
"38000,40000",38000,40000,BTA,28,9410.69380894998,0.00234824534519537
"38000,40000",38000,40000,BTH,1,659301.93362198,0.164515255531288
"38000,40000",38000,40000,BTN,24,252015.63054006,0.0628853242222534
"38000,40000",38000,40000,CZH,5,35453.81007666,0.00884677008647111
"38000,40000",38000,40000,FVL,8,167006.482961892,0.0416730375245808
"38000,40000",38000,40000,J5M,11,25873.8234181572,0.00645628118793015
"38000,40000",38000,40000,J6P,11,475.336215496296,0.000118610389212791
"38000,40000",38000,40000,J6S,11,116477.861927999,0.0290646579990313
"38000,40000",38000,40000,MCR,4,130736.206716993,0.0326225350759692
"38000,40000",38000,40000,MIS,2,134329.04486229,0.0335190540385468
"38000,40000",38000,40000,ORH,3,82968.1287193298,0.0207029923637984
"38000,40000",38000,40000,PPH,18,99299.5099045443,0.0247781530934269
"38000,40000",38000,40000,PRL,18,77536.1519984249,0.0193475541454235
"38000,40000",38000,40000,PTR,19,69427.4691904835,0.0173241989023377
"38000,40000",38000,40000,RGA,19,9557.10709951539,0.00238477977453978
"38000,40000",38000,40000,SNE,28,12248.5190709742,0.00305636635065072
"40000,42000",40000,42000,000,0,602130.864977161,0.150751962878731
"40000,42000",40000,42000,BTA,28,914.50594589347,0.00022895947447062
"40000,42000",40000,42000,BTH,1,1920575.89263043,0.480843289245086
"40000,42000",40000,42000,BTN,24,603878.047315505,0.151189394643705
"40000,42000",40000,42000,CZH,5,373930.021719034,0.0936186600492054
"40000,42000",40000,42000,FVL,8,10995.4024297453,0.00275285423043135
"40000,42000",40000,42000,J5M,11,5895.7443622119,0.00147608283669093
"40000,42000",40000,42000,J6S,11,16074.5829084525,0.0040244987707083
"40000,42000",40000,42000,LUZ,16,417.559428451583,0.000104541897980906
"40000,42000",40000,42000,MCR,4,702.182422338519,0.000175801282783417
"40000,42000",40000,42000,MIS,2,439865.225460212,0.110126469173337
"40000,42000",40000,42000,MLG,16,7869.42244958505,0.00197022101008207
"40000,42000",40000,42000,SNE,28,1025.59048549396,0.000256771057241566
"40000,42000",40000,42000,TRE,16,5549.06526225258,0.00138928682963044
"40000,42000",40000,42000,TTH,4,4358.47847929783,0.00109120661991605
"42000,44000",42000,44000,000,0,348060.926763695,0.0871600302728011
"42000,44000",42000,44000,BTA,28,5754.60759075817,0.00144104590102152
"42000,44000",42000,44000,BTH,1,1466326.54538046,0.367191650247894
"42000,44000",42000,44000,BTN,24,1063046.76030177,0.266203933520556
"42000,44000",42000,44000,CZH,5,87457.8198809773,0.0219008387390592
"42000,44000",42000,44000,J5M,11,7011.87339984367,0.00175588539478419
"42000,44000",42000,44000,J6S,11,9070.67993688257,0.0022714435235367
"42000,44000",42000,44000,LIF,9,97099.4115910977,0.024315247713792
"42000,44000",42000,44000,MIS,2,49975.2007233922,0.0125145906161924
"42000,44000",42000,44000,ORH,3,284688.517019391,0.071290563960876
"42000,44000",42000,44000,ORP,3,431521.789153854,0.108059966844708
"42000,44000",42000,44000,PTC,25,143034.968242392,0.0358182467592522
"42000,44000",42000,44000,SNE,28,305.717290140223,0.0000765565055270661
"44000,46000",44000,46000,000,0,784833.179785913,0.195946398549985
"44000,46000",44000,46000,BTA,28,13754.8937469005,0.00343413347136786
"44000,46000",44000,46000,BTH,1,1664581.37475552,0.41558987804988
"44000,46000",44000,46000,BTN,24,132572.572499353,0.0330989040688124
"44000,46000",44000,46000,CZH,5,819410.576744236,0.204579209419506
"44000,46000",44000,46000,J5M,11,25446.7475898137,0.00635319539675253
"44000,46000",44000,46000,J6S,11,25655.7472801981,0.00640537557680054
"44000,46000",44000,46000,LEC,15,31963.5487530902,0.00798022105124729
"44000,46000",44000,46000,MIS,2,76934.9620046876,0.019208067543106
"44000,46000",44000,46000,ORH,3,64171.3523518965,0.0160214243068396
"44000,46000",44000,46000,ORP,3,288060.199660789,0.0719189251205182
"44000,46000",44000,46000,PHI,8,391.005606226623,0.0000976209241992798
"44000,46000",44000,46000,PPH,18,29251.5169966966,0.00730311810872965
"44000,46000",44000,46000,PTR,19,48264.1728344448,0.0120499376039163
"44000,46000",44000,46000,SNE,28,54.435893714428,0.0000135908083398074
"46000,48000",46000,48000,000,0,920624.816349632,0.230036672348401
"46000,48000",46000,48000,BTA,28,14191.4707481049,0.00354602510017926
"46000,48000",46000,48000,BTH,1,1192953.17956241,0.298083404683894
"46000,48000",46000,48000,BTN,24,462320.640436606,0.115520133495542
"46000,48000",46000,48000,CZH,5,338564.553690213,0.0845971800052372
"46000,48000",46000,48000,J5M,11,2501.92873607203,0.000625157339534803
"46000,48000",46000,48000,J6S,11,42755.8277555651,0.0106834056237914
"46000,48000",46000,48000,LIF,9,52646.9256941527,0.0131548958717805
"46000,48000",46000,48000,MIS,2,378301.731948522,0.0945263151889937
"46000,48000",46000,48000,ORH,3,279519.919206004,0.0698436875992528
"46000,48000",46000,48000,ORP,3,313778.152607932,0.0784037979420978
