video_url,tmdb_id,imdb_id,titre_tmdb,annee_tmdb,synopsis,accroche,genres,duree_minutes,note_moyenne,nb_votes,langue_originale,pays_production,realisateur,societes_production,poster_url,film_miniature
https://www.youtube.com/watch?v=ejTjwyfLq9g,147,tt0053198,Les Quatre Cents Coups,1959,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",Angel faces hell-bent for violence.,Drama,99,7.995,2383,fr,France,François Truffaut,"Les Films du Carrosse, Sédif Productions",https://image.tmdb.org/t/p/w500/12PuU23kkDLvTd0nb8hMlE3oShB.jpg,./img_films_tmdb/img_png/img_147.png
https://www.youtube.com/watch?v=Jem0t-mX4_Y,147,tt0053198,Les Quatre Cents Coups,1959,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",Angel faces hell-bent for violence.,Drama,99,7.995,2383,fr,France,François Truffaut,"Les Films du Carrosse, Sédif Productions",https://image.tmdb.org/t/p/w500/12PuU23kkDLvTd0nb8hMlE3oShB.jpg,./img_films_tmdb/img_png/img_147.png
https://www.youtube.com/watch?v=86KtLG99tQM,147,tt0053198,Les Quatre Cents Coups,1959,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",Angel faces hell-bent for violence.,Drama,99,7.995,2383,fr,France,François Truffaut,"Les Films du Carrosse, Sédif Productions",https://image.tmdb.org/t/p/w500/12PuU23kkDLvTd0nb8hMlE3oShB.jpg,./img_films_tmdb/img_png/img_147.png
https://www.youtube.com/watch?v=V9W1Dy_VveY,147,tt0053198,Les Quatre Cents Coups,1959,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",Angel faces hell-bent for violence.,Drama,99,7.995,2383,fr,France,François Truffaut,"Les Films du Carrosse, Sédif Productions",https://image.tmdb.org/t/p/w500/12PuU23kkDLvTd0nb8hMlE3oShB.jpg,./img_films_tmdb/img_png/img_147.png
https://www.youtube.com/watch?v=yhYG-jBRqRc,147,tt0053198,Les Quatre Cents Coups,1959,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",Angel faces hell-bent for violence.,Drama,99,7.995,2383,fr,France,François Truffaut,"Les Films du Carrosse, Sédif Productions",https://image.tmdb.org/t/p/w500/12PuU23kkDLvTd0nb8hMlE3oShB.jpg,./img_films_tmdb/img_png/img_147.png
https://www.youtube.com/watch?v=xge11SauCZw,147,tt0053198,Les Quatre Cents Coups,1959,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",Angel faces hell-bent for violence.,Drama,99,7.995,2383,fr,France,François Truffaut,"Les Films du Carrosse, Sédif Productions",https://image.tmdb.org/t/p/w500/12PuU23kkDLvTd0nb8hMlE3oShB.jpg,./img_films_tmdb/img_png/img_147.png
https://www.youtube.com/watch?v=_reYPymXIKY,147,tt0053198,Les Quatre Cents Coups,1959,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",Angel faces hell-bent for violence.,Drama,99,7.995,2383,fr,France,François Truffaut,"Les Films du Carrosse, Sédif Productions",https://image.tmdb.org/t/p/w500/12PuU23kkDLvTd0nb8hMlE3oShB.jpg,./img_films_tmdb/img_png/img_147.png
https://www.youtube.com/watch?v=YT8pTHo_K4E,147,tt0053198,Les Quatre Cents Coups,1959,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",Angel faces hell-bent for violence.,Drama,99,7.995,2383,fr,France,François Truffaut,"Les Films du Carrosse, Sédif Productions",https://image.tmdb.org/t/p/w500/12PuU23kkDLvTd0nb8hMlE3oShB.jpg,./img_films_tmdb/img_png/img_147.png
https://www.youtube.com/watch?v=GkuyhX-M5_4,147,tt0053198,Les Quatre Cents Coups,1959,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",Angel faces hell-bent for violence.,Drama,99,7.995,2383,fr,France,François Truffaut,"Les Films du Carrosse, Sédif Productions",https://image.tmdb.org/t/p/w500/12PuU23kkDLvTd0nb8hMlE3oShB.jpg,./img_films_tmdb/img_png/img_147.png
https://www.youtube.com/watch?v=O2uWwybmEU0,147,tt0053198,Les Quatre Cents Coups,1959,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",Angel faces hell-bent for violence.,Drama,99,7.995,2383,fr,France,François Truffaut,"Les Films du Carrosse, Sédif Productions",https://image.tmdb.org/t/p/w500/12PuU23kkDLvTd0nb8hMlE3oShB.jpg,./img_films_tmdb/img_png/img_147.png
