nom_recherche,trouve,personne_id,nom_tmdb,alias,date_naissance,date_deces,lieu_naissance,genre,departement_connu,biographie,popularite,url_photo,imdb_id,nb_films_realises,filmographie,film_miniature
François Truffaut,TRUE,1650,François Truffaut,"프랑수아 트뤼포, 弗朗索瓦·特吕弗, 프랑소와 트뤼포",1932-02-06,1984-10-21,"Paris, France",Homme,Directing,"François Roland Truffaut (February 6, 1932 – October 21, 1984) was an influential film critic and filmmaker and one of the founders of the French New Wave. In a film career lasting over a quarter of a century, he remains an icon of the French film industry. He was also a screenwriter, producer, and actor working on over twenty-five films. Along with Jean-Luc Godard, Truffaut was one of the most influential figures of the French New Wave, inspiring directors such as Steven Spielberg, Quentin Tarantino, Brian De Palma, Martin Scorsese and Wes Anderson.",1.6245,https://image.tmdb.org/t/p/w500/3bXLtipaybsje01LlQvHvuUAZNq.jpg,nm0000076,27,,./img_persons_tmdb/img_png/img_1650.png
Steven Spielberg,TRUE,488,Steven Spielberg,Steven Allan Spielberg,1946-12-18,NA,"Cincinnati, Ohio, USA",Homme,Directing,"Steven Allan Spielberg KBE (born December 18, 1946) is an American filmmaker. A major figure of the New Hollywood era and pioneer of the modern blockbuster, Spielberg is widely regarded as one of the greatest and most influential filmmakers in the history of cinema and is the highest-grossing film director of all time. Among other accolades, he has received three Academy Awards, four Golden Globe Awards and three BAFTA Awards, as well as the AFI Life Achievement Award in 1995, an honorary knighthood in 2001, the Kennedy Center Honors in 2006, the Cecil B. DeMille Award in 2009, the Presidential Medal of Freedom in 2015, and the National Medal of Arts in 2023. According to Forbes, he is the wealthiest celebrity.

Spielberg was born in Cincinnati, Ohio, and grew up in Phoenix, Arizona. He moved to California and studied film in college. After directing several episodes for television, including Night Gallery and Columbo, he directed the television film Duel (1971), which Barry Diller approved. He made his theatrical debut with The Sugarland Express (1974), also beginning his decades-long collaboration with composer John Williams, with whom he has worked for all but five of his theatrical releases. He became a household name with the summer blockbuster Jaws (1975). He continued directing acclaimed escapist box-office hits with Close Encounters of the Third Kind (1977), E.T. the Extra-Terrestrial (1982), and the original Indiana Jones trilogy (1981–1989). He also explored drama in The Color Purple (1985) and Empire of the Sun (1987).

In 1993, Spielberg directed back-to-back hits with the science fiction thriller Jurassic Park, the highest-grossing film at the time, and the epic historical drama Schindler's List, which has often been ranked among the greatest films ever made. He won the Academy Award for Best Director for the latter as well as for the World War II epic Saving Private Ryan (1998). Spielberg has since directed the science fiction films A.I. Artificial Intelligence (2001), Minority Report (2002), War of the Worlds (2005) and Ready Player One (2018); the historical dramas Amistad (1997), Munich (2005), War Horse (2011), Lincoln (2012), Bridge of Spies (2015) and The Post (2017); the comedies Catch Me If You Can (2002) and The Terminal (2004); the animated film The Adventures of Tintin (2011); the musical West Side Story (2021); and the family drama The Fabelmans (2022).

Spielberg co-founded Amblin Entertainment and DreamWorks Pictures, and he has served as a producer for many successful films and television series, among them Poltergeist (1982), Gremlins (1984), Back to the Future (1985), An American Tail (1986), Who Framed Roger Rabbit (1988), Animaniacs (1993), Freakazoid! (1995), Twister (1996), Band of Brothers (2001) and Transformers (2007). Several of Spielberg's works are considered among the greatest films in history, and some are among the highest-grossing films of all time. Seven of his films have been inducted into the National Film Registry by the Library of Congress as being ""culturally, historically or aesthetically significant"". In 2013, Time listed him among the 100 most influential people. In 2023, Spielberg was the recipient of the first-ever Time 100 Impact Award in the US.

Description above from the Wikipedia article Steven Spielberg, licensed under CC-BY-SA, full list of contributors on Wikipedia.",6.3128,https://image.tmdb.org/t/p/w500/tZxcg19YQ3e8fJ0pOs7hjlnmmr6.jpg,nm0000229,45,,./img_persons_tmdb/img_png/img_488.png
Martin Scorsese,TRUE,1032,Martin Scorsese,"마틴 스코세이지, ਮਾਰਟਿਨ ਸਕੌਰਸੀਜ਼ੇ, 马丁•斯科塞斯, Marty Scorsese, 마틴 스콜시지, Rar Tin Scisese, Martin Charles Scorsese, Mratin Skorseze",1942-11-17,NA,"Queens, New York City, New York, USA",Homme,Directing,"Martin Charles Scorsese (/skɔːrˈsɛsi/ skor-SESS-ee, Italian: [skorˈseːze, -se]; born November 17, 1942) is an American filmmaker. One of the major figures of the New Hollywood era, he has received many accolades, including an Academy Award, four BAFTA Awards, three Emmy Awards, a Grammy Award, and three Golden Globe Awards. He has been honoured with the AFI Life Achievement Award in 1997, the Film Society of Lincoln Center tribute in 1998, the Kennedy Center Honor in 2007, the Cecil B. DeMille Award in 2010, and the BAFTA Fellowship in 2012. Four of his films have been inducted into the National Film Registry by the Library of Congress as ""culturally, historically or aesthetically significant"".

Scorsese received a Master of Arts degree from New York University's Steinhardt School of Culture, Education, and Human Development in 1968. His directorial debut, Who's That Knocking at My Door (1967), was accepted into the Chicago Film Festival. In the 1970s and 1980s, Scorsese's films, much influenced by his Italian-American background and upbringing in New York City, centred on macho-posturing men and explored crime, machismo, nihilism and Catholic concepts of guilt and redemption. His trademark styles of extensive use of slow motion and freeze frames, voice-over narration, graphic depictions of extreme violence and liberal use of profanity were first shown in Mean Streets (1973).

Scorsese won the Palme d'Or at Cannes with Taxi Driver (1976), which starred Robert De Niro as a disturbed Vietnam Veteran. De Niro became associated with Scorsese through eight more films, including New York, New York (1977), Raging Bull (1980), The King of Comedy (1982), Goodfellas (1990), Casino (1995) and The Irishman (2019). In the following decades, he garnered box office success with a series of collaborations with Leonardo DiCaprio, including Gangs of New York (2002), The Aviator (2004), The Departed (2006), Shutter Island (2010), and The Wolf of Wall Street (2013). He worked with both De Niro and DiCaprio on Killers of the Flower Moon (2023). He also directed After Hours (1985), The Color of Money (1986), The Last Temptation of Christ (1988), The Age of Innocence (1993), Kundun (1997), Hugo (2011), and Silence (2016).

On television, he has directed episodes for the HBO series Boardwalk Empire (2010–2014) and Vinyl (2016), as well as the HBO documentary Public Speaking (2010) and the Netflix docu-series Pretend It's a City (2021). He has also directed several rock documentaries, including The Last Waltz (1978), No Direction Home (2005), and Shine a Light (2008). He has explored film history in the documentaries A Personal Journey with Martin Scorsese Through American Movies(1995) and My Voyage to Italy (1999). An advocate for film preservation and restoration, he has founded three nonprofit organisations: The Film Foundation in 1990, the World Cinema Foundation in 2007 and the African Film Heritage Project in 2017.",5.5507,https://image.tmdb.org/t/p/w500/g3DjfKsgZQWZiw30I20hZVk1oMX.jpg,nm0000217,66,,./img_persons_tmdb/img_png/img_1032.png
Chris Marker,TRUE,9956,Chris Marker,"크리스 마르케, Крис Маркер, クリス・マルケル, Christian Bouche-Villeneuve, Christian François Bouche-Villeneuve, Jacopo Berenzini, Michel Krasna, Sandor Krasna, Hayao Yamaneko, Kosinki, Guillaume-en-Égypte",1921-07-29,2012-07-29,"Neuilly-sur-Seine, Hauts-de-Seine, Île-de-France, France",Homme,Directing,"Christian François Bouche-Villeneuve, better known as Chris Marker (France, 29 July 1921 – 29 July 2012), was a French writer, poet, activist, critic, photographer, traveler, journalist, film essayist, multimedia artist, and documentary filmmaker.

He began his career as part of the French Rive Gauche group—parallel to but distinct from the Nouvelle Vague—with which he would later share certain themes and collaborators. Marker is credited with developing the subjective documentary and is considered a pioneer of collective cinema in France. His films are known for their poetic, essayistic, and often experimental qualities, blending a reflective voice with a fascination for memory, art, war, politics, culture, and nature. Over six decades of work, he observed the world with meticulous curiosity, irony, and compassion, continually experimenting with new forms of image manipulation and montage.

He was also famously elusive. For many years, few people knew what Chris Marker looked like—he disliked being photographed, and no confirmed portraits were publicly available. He often amused himself by giving contradictory accounts of his life in the rare interviews he granted. As Philippe Dubois observed, “Chris Marker is, in a way, the most celebrated of the unknown filmmakers.” His official website adds: “Rather than a man without qualities, he is a man without biography.”

Marker also worked under numerous pseudonyms, including Hayao Yamaneko, Jacopo Berenzini, Kosinki, Michel Krasna, Sandor Krasna, and Guillaume-en-Égypte (his feline avatar), though his best-known identity remains Chris Marker.

Among his most significant works are La Jetée (1962), Sans Soleil (1983), Far from Vietnam (1967), A Grin Without a Cat (1977), A.K. (1985), Level Five (1997), and One Day in the Life of Andrei Arsenevich (1999). He also explored interactive and digital media with the CD-ROM Immemory (1997), maintained a website titled Gorgomancy, a YouTube channel called Kosinki, and created a virtual gallery, Ouvroir, within the online world Second Life.",0.9704,https://image.tmdb.org/t/p/w500/f3WALvrJGu829oq8N467DnGJuer.jpg,nm0003408,80,,./img_persons_tmdb/img_png/img_9956.png
Claude Pinoteau,TRUE,1961,Claude Pinoteau,NA,1925-05-25,2012-10-05,"Boulogne-Billancourt, Seine [now Hauts-de-Seine], France",Homme,Directing,"Claude Pinoteau (25 May 1925 – 5 October 2012) was a French film director and scriptwriter. Born in Boulogne-Billancourt, Hauts de Seine, Île-de-France, France. He died in Neuilly-sur-Seine, aged 87. His sister was the actress Arlette Merry, and his brother was the director Jacques Pinoteau.

Source: Article ""Claude Pinoteau"" from Wikipedia in English, licensed under CC-BY-SA.",0.9115,https://image.tmdb.org/t/p/w500/8ZKN7aLjMZf2cr0BxlDDPiKipAO.jpg,nm0684509,13,,./img_persons_tmdb/img_png/img_1961.png
Alfred Hitchcock,TRUE,2636,Alfred Hitchcock,"The Master of Suspense, Sir Alfred Hitchcock, Sir Alfred Joseph Hitchcock, Alfred Joseph Hitchcock, Hitchcock",1899-08-13,1980-04-29,"Leytonstone, London, England, UK",Homme,Directing,"Sir Alfred Joseph Hitchcock (August 13, 1899 – April 29, 1980) was an English film director. He is widely regarded as one of the most influential figures in cinema history. In a career spanning six decades, he directed over 50 feature films, many of which are still widely watched and studied today. Known as the ""Master of Suspense"", Hitchcock became as well known as any of his actors thanks to his many interviews, cameo appearances in most of his films, and hosting and producing the television anthology Alfred Hitchcock Presents (1955–65). His films garnered 46 Academy Award nominations, including six wins. However, despite five nominations, he never won the  Best Director award.

Hitchcock initially trained as a technical clerk and copywriter before entering the film industry in 1919 as a title card designer. The British–German silent film The Pleasure Garden (1925) was his directorial debut. His first successful film, The Lodger: A Story of the London Fog (1927), helped to shape the thriller genre, and Blackmail (1929) was the first British ""talkie"". His thrillers The 39 Steps (1935) and The Lady Vanishes (1938) are ranked among the greatest British films of the 20th century. By 1939, he had international recognition and producer David O. Selznick persuaded him to move to Hollywood. A string of successful films followed, including Rebecca(1940), Foreign Correspondent (1940), Suspicion (1941), Shadow of a Doubt (1943) and Notorious (1946). Rebecca won the Academy Award for Best Picture, with Hitchcock nominated as Best Director. He also received Oscar nominations for Lifeboat (1944), Spellbound (1945), Rear Window (1954) and Psycho (1960).

Hitchcock's other notable films include Rope (1948), Strangers on a Train (1951), Dial M for Murder (1954), To Catch a Thief (1955), The Trouble with Harry (1955), Vertigo (1958), North by Northwest (1959), The Birds (1963), Marnie (1964) and Frenzy (1972), all of which were also financially successful and are highly regarded by film historians. Hitchcock made several films with some of the biggest stars in Hollywood, including four with Cary Grant, four with James Stewart, three with Ingrid Bergman and three consecutively with Grace Kelly. Hitchcock became an American citizen in 1955.

In 2012, Hitchcock's psychological thriller Vertigo, starring Stewart, displaced Orson Welles' Citizen Kane (1941) as the British Film Institute's greatest film ever made based on its worldwide poll of hundreds of film critics. As of 2021, nine of his films had been selected for preservation in the United States National Film Registry, including his favourite, Shadow of a Doubt (1943). He received the BAFTA Fellowship in 1971, the AFI Life Achievement Award in 1979, and was knighted in December of that year, four months before his death on 29 April 1980.",4.0802,https://image.tmdb.org/t/p/w500/108fiNM6poRieMg7RIqLJRxdAwG.jpg,nm0000033,65,,./img_persons_tmdb/img_png/img_2636.png
Danny Boyle,TRUE,2034,Danny Boyle,"丹尼·鮑伊, แดนนี บอยล์, 대니 보일, داني بويل, Ντάνι Μπόιλ, Daniel Francis Boyle, डैनी बॉयल, ಡ್ಯಾನಿ ಬೋಯ್ಲೆ, டேனி பாயில், డానీ బాయిల్, แดนนี่บอยล์, ڈینی بوائل, ड्यानी बोयल, ડેની બોઇલ",1956-10-20,NA,"Manchester, England, UK",Homme,Directing,"Daniel Francis Boyle (born 20 October 1956) is an English filmmaker and producer. He is best known for his work on films such as Trainspotting, 28 Days Later, Slumdog Millionaire, 127 Hours, and Steve Jobs. In 2009, Slumdog Millionaire won Boyle the Academy Award for Best Director, and the film won Best Picture. In 2012, Boyle was the artistic director for Isles of Wonder, the opening ceremony of the Summer Olympics in London, which was widely praised.",2.3067,https://image.tmdb.org/t/p/w500/b5qQpFHmgNyvV1t81ou17Jt2fRj.jpg,nm0000965,32,,./img_persons_tmdb/img_png/img_2034.png
Jean-Luc Godard,TRUE,3776,Jean-Luc Godard,"Jean Luc Godard, J.-L. Godard, JL Godard, JeanLuc Cinéma Godard, Monsieur Godard, JLG, Hans Lucas, 장 뤽 고다르, 장-뤽 고다르, جان لوك جودار",1930-12-03,2022-09-13,"Paris, France",Homme,Directing,"Jean-Luc Godard (December 3, 1930 – September 13, 2022) was a French-Swiss film director, screenwriter and film critic. He rose to prominence as a pioneer of the 1960s French New Wave film movement and was arguably the most influential French filmmaker of the post-war era.",2.1975,https://image.tmdb.org/t/p/w500/zP5EDY5MstfkdBmPXNCj8Y6v5KR.jpg,nm0000419,138,,./img_persons_tmdb/img_png/img_3776.png
Denys de La Patellière,TRUE,24389,Denys de La Patellière,"Denys de La Patelliere, Denis de La Patellière, Denis de la Patellière, Denys de la Patellière, Denis de la Patelliere, Denis Dubois de La Patellière, Дени де Ла Пательер",1921-03-08,2013-07-21,"Nantes, France",Homme,Directing,"Denys de La Patellière (8 March 1921 in Nantes, France – 21 July 2013) was a French film director and scriptwriter.

From Wikipedia, the free encyclopedia",1.0541,https://image.tmdb.org/t/p/w500/7xEdKu1IomNg9RDYONbxEfz3b5C.jpg,nm0478800,23,,./img_persons_tmdb/img_png/img_24389.png
Sidney Lumet,TRUE,39996,Sidney Lumet,"西德尼·吕美特, Сидни Люмет, سیدنی لومت",1924-06-25,2011-04-09,"Philadelphia, Pennsylvania, USA",Homme,Directing,"Sidney Lumet (June 25, 1924 – April 9, 2011) was an American director, producer and screenwriter with over 50 films to his name. He was nominated for the Academy Award as Best Director for 12 Angry Men (1957), Dog Day Afternoon (1975), Network (1976) and The Verdict (1982). He did not win an individual Academy Award, although he did receive an Academy Honorary Award and 14 of his films were nominated for various Oscars, such as Network, which was nominated for 10, winning 4.

The Encyclopedia of Hollywood states that Lumet was one of the most prolific directors of the modern era, making more than one movie per year on average since his directorial debut in 1957. He was noted by Turner Classic Movies for his ""strong direction of actors"", ""vigorous storytelling"" and the ""social realism"" in his best work. Film critic Roger Ebert described him as having been ""one of the finest craftsmen and warmest humanitarians among all film directors."" Lumet was also known as an ""actor's director,"" having worked with the best of them during his career, probably more than ""any other director.""

Lumet began his career as an Off-Broadway director, then became a highly efficient TV director. His first movie was typical of his best work: a well-acted, tightly written, deeply considered ""problem picture,"" 12 Angry Men (1957). From that point on Lumet divided his energies among other idealistic problem pictures along with literate adaptations of plays and novels, big stylish pictures, New York-based black comedies, and realistic crime dramas, including Serpico and Prince of the City. As a result of directing 12 Angry Men, he was also responsible for leading the first wave of directors who made a successful transition from TV to movies. In 2005, Lumet received an Academy Award for Lifetime Achievement for his ""brilliant services to screenwriters, performers, and the art of the motion picture."" Two years later, he concluded his career with the acclaimed drama Before the Devil Knows You're Dead (2007).

Description above from the Wikipedia article Sidney Lumet, licensed under CC-BY-SA, full list of contributors on Wikipedia.​",2.2713,https://image.tmdb.org/t/p/w500/hjj3V2DkPJ46zo5uz9bsZQzAk6R.jpg,nm0001486,58,,./img_persons_tmdb/img_png/img_39996.png
