nom,pipe,saisonepisode,lieu_date,video,url,date,lieu_1,lieu_2,lieu_3,lieu_4,lieu_5,lieu_6,lieu_7,lieu_8,lieu_9,lieu_10,lieu_11
"Simone Weber, la diabolique de Nancy",Pipe d'argent - bon épisode,saison 2 épisode 1,"Lieu : Nancy (54)

Début de l'affaire : 1985",https://www.youtube.com/embed/dtew0sdMb0I?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/1/simone-weber-la-diabolique-de-nancy, 1985,"Nancy (54)

",,,,,,,,,,
"Patrick Henry, le procès de la guillotine",Pipe d'or - très bon épisode,saison 2 épisode 2,"Lieu : Troyes (10)

Début de l'affaire : 1976",https://www.youtube.com/embed/ZqDLvBK76Fo?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/2/patrick-henry-le-proces-de-la-guillotine, 1976,"Troyes (10)

",,,,,,,,,,
"Richard Roman,  le procès d'un innocent",Pipe de bronze - épisode moyen,saison 2 épisode 3,"Lieu : La Motte-du-Caire (04)

Début de l'affaire : 1988",https://www.youtube.com/embed/w85jRR8Xlek?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/3/richard-roman-le-proces-dun-innocent, 1988,"La Motte-du-Caire (04)

",,,,,,,,,,
"Omar Raddad,  le coupable désigné",Pipe d'or - très bon épisode,saison 2 épisode 4,"Lieu : Mougins (06)

Début de l'affaire : 1991",,affaire/4/omar-raddad-le-coupable-designe, 1991,"Mougins (06)

",,,,,,,,,,
"Pierre Chanal, l'énigme de Mourmelon",Pipe de diamant - excellent épisode,saison 2 épisode 5,"Lieu : Mourmelon (51)

Début de l'affaire : 1980",https://www.youtube.com/embed/dCYnvSNyILI?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/5/pierre-chanal-lenigme-de-mourmelon, 1980,"Mourmelon (51)

",,,,,,,,,,
L'assassinat du petit Grégory,Pipe d'or - très bon épisode,saison 3 épisode 1,"Lieu : Lépanges-sur-Vologne (88)

Début de l'affaire : 1984",https://www.youtube.com/embed/NFB4nDiR_l0?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/6/lassassinat-du-petit-gregory, 1984,"Lépanges-sur-Vologne (88)

",,,,,,,,,,
"Christian Ranucci, l'énigme du pull-over rouge",Pipe d'or - très bon épisode,saison 3 épisode 2,"Lieux : Marseille (13), Peypin (13)

Début de l'affaire : 1974",https://www.youtube.com/embed/KeK-T5Jqt2g?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/7/christian-ranucci-lenigme-du-pull-over-rouge, 1974,Marseille (13)," Peypin (13)

",,,,,,,,,
L'assassinat du juge Michel,Pipe d'or - très bon épisode,saison 3 épisode 3,"Lieu : Marseille (13)

Début de l'affaire : 1981",https://www.youtube.com/embed/FZM09wAaMpc?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/8/lassassinat-du-juge-michel, 1981,"Marseille (13)

",,,,,,,,,,
"Christine Malèvre, la mort au bout de l'aiguille",Pipe de bronze - épisode moyen,saison 3 épisode 4,"Lieu : Mantes-la-Jolie (78)

Début de l'affaire : 1997",,affaire/9/christine-malevre-la-mort-au-bout-de-laiguille, 1997,"Mantes-la-Jolie (78)

",,,,,,,,,,
"Patrick Dils, marathon pour un acquittement",Pipe d'or - très bon épisode,saison 3 épisode 5,"Lieu : Montigny-les-Metz (57)

Début de l'affaire : 1986",https://www.youtube.com/embed/D8yTkNMFz4o?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/10/patrick-dils-marathon-pour-un-acquittement, 1986,"Montigny-les-Metz (57)

",,,,,,,,,,
"Jean-Louis Turquin, voyage au bout de la haine",Pipe d'or - très bon épisode,saison 3 épisode 6,"Lieu : Nice (06)

Début de l'affaire : 1991",,affaire/11/jean-louis-turquin-voyage-au-bout-de-la-haine, 1991,"Nice (06)

",,,,,,,,,,
"François Besse, lieutenant de Mesrine",Pipe d'argent - bon épisode,saison 3 épisode 7,"Lieux : Deauville (14), Cognac (16), Bordeaux (33), Perpignan (66), Paris (75), Fresnes (94), Belgique, Maroc

Début de l'affaire : 1973",,affaire/12/francois-besse-lieutenant-de-mesrine, 1973,Deauville (14), Cognac (16), Bordeaux (33), Perpignan (66), Paris (75), Fresnes (94), Belgique," Maroc

",,,
"Marc Dutroux, le démon belge",Pipe de diamant - excellent épisode,saison 3 épisode 8,"Lieu : Belgique

Début de l'affaire : 1995",https://www.youtube.com/embed/Vrz-VdPCEPA?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/13/marc-dutroux-le-demon-belge, 1995,"Belgique

",,,,,,,,,,
Qui a tué le berger de Castellar ?,Pipe de bronze - épisode moyen,saison 4 épisode 1,"Lieu : Castellar (06)

Début de l'affaire : 1991",https://www.youtube.com/embed/H5Ktyk9qWTY?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/14/qui-a-tue-le-berger-de-castellar, 1991,"Castellar (06)

",,,,,,,,,,
"Florence Rey, Audry Maupin, tueurs nés ? ",Pipe d'argent - bon épisode,saison 4 épisode 2,"Lieu : Paris (75)

Début de l'affaire : 1994",https://www.youtube.com/embed/XiTU2t1Fntg?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/15/florence-rey-audry-maupin-tueurs-nes, 1994,"Paris (75)

",,,,,,,,,,
"Yves Dandonneau, le mort vivant",Pipe d'argent - bon épisode,saison 4 épisode 3,"Lieu : Joncels (34)

Début de l'affaire : 1987",https://www.youtube.com/embed/8ucsTRYea7E?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/16/yves-dandonneau-le-mort-vivant, 1987,"Joncels (34)

",,,,,,,,,,
"Magali Guillemot, la mort du petit Lubin",Pipe d'argent - bon épisode,saison 4 épisode 4,"Lieu : Montrouge (92)

Début de l'affaire : 1994",https://www.youtube.com/embed/WPkeYCs7BVA?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/17/magali-guillemot-la-mort-du-petit-lubin, 1994,"Montrouge (92)

",,,,,,,,,,
"Christian Van Geloven, criminel sexuel",Pipe d'argent - bon épisode,saison 4 épisode 5,"Lieux : Saint-Maurice-de-Navacelles (34), Elne (66)

Début de l'affaire : 1991",https://www.youtube.com/embed/iYLPmQB8aBk?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/18/christian-van-geloven-criminel-sexuel, 1991,Saint-Maurice-de-Navacelles (34)," Elne (66)

",,,,,,,,,
