df_goopldet.place_id,df_goopldet.adresse,df_goopldet.nom,df_goopldet.telephone,df_goopldet.url,df_goopldet.types,df_goopldet.type.princ,df_goopldet.note_globale,df_goopldet.nb_notes,df_goopldet.moy_anciennete_avis,df_goopldet.med_anciennete_avis,df_goopldet.nb_notes.s,df_goopldet.type.princ.fr,df_goopl.id,df_goopl.reference,INSEE_COM,df_goopl.lng,df_goopl.lat,df_goopldet.moy_anciennete_avis.rang
ChIJ_____15t5kcRk8WHjtKkI20,"3 Rue Franklin, 93100 Montreuil, France",Sopra,+33 1 41 72 41 41,https://maps.google.com/?cid=7864310598560368019,"c(""point_of_interest"", ""establishment"")",establishment,4,5,268.4,345,5,établissement,305517d96e52c0527a4f122afc01b74e6b4372bd,CmRRAAAAe01mnVEg1z3khlKnlWXaLSFwanSYaKmMxw44BUID0TLCZiCGJJhsjIRYgpqSwnW08F7FZoSZSjeMP0DYJVcoRLphilnJ-VsSc0LWF6TKMUwCETpmhu-2BZhQTZbtyomMEhCxJ7BDmAA3UUo8GRF77k4LGhSrpg3RTdGQL0LA183scgL0PZ6GWw,93048,2.4431277,48.8608946,510
ChIJ_____4R25kcRikFETLAKpYk,"44 Rue Armand Carrel, 93100 Montreuil, France",Carte Jeunes Européenne,+33 9 86 10 62 60,https://maps.google.com/?cid=9918345506663448970,"c(""point_of_interest"", ""establishment"")",establishment,4,1,115,115,1_4,établissement,61077f11bd165f7b2e223d9479d54e39add537ca,CmRSAAAAV90450NsH_2KdWCqxInGZOnL_k145irZLKZijbYEa8mHZonOUBs9wkLTv8vVRSu5AgdGRz0vVbJ-DiY6mZeWk29yNM-K6AGkYl056BHae8i8_I_gVSAE2HJ-cOxGut_9EhDggltmvOF2NB4SX-GhVzYsGhRnXAGVwYT0-RvVHs8Dmmgoj66wkQ,93048,2.4180007,48.851334,
ChIJ_____5Bx5kcRaQXezPPojJg,"69 Rue Parmentier, 93100 Montreuil, France",La Puce A l’Oreille,+33 9 82 56 20 95,https://maps.google.com/?cid=10992416924316337513,"c(""electronics_store"", ""home_goods_store"", ""store"", ""point_of_interest"", ""establishment"")",electronics_store,,0,,,0,magasin d'électronique,1aa0ef0c140fa7aa4694602bca4b3d489bbf2177,CmRSAAAAbcRxkO4MtKmsX2dmzLv-JQLKa2GxNHQX2ri-wOdoKd8UU_0ddTxwxKc_ZOQXbJSkgJ9J214vgXG4jTDuCanTlLesIZzq1jSie931O-kOLm-RRKJP90yIgiAnKKADkpaDEhADoar-pxjp_EvJ52Ze9iMAGhRZqlvlblZiyoxsGQLh2V7XQTj9jQ,93048,2.4312697,48.858939,
ChIJ___DSE9t5kcRh7nFYZmTjKE,"14 Boulevard Aristide Briand, 93100 Montreuil, France",pizza rapidos,+33 1 48 70 04 86,https://maps.google.com/?cid=11640841423825516935,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",restaurant,,0,,,0,restaurant,eb6b80df54cc5ff9656a473f4c1c851af4942016,CmRSAAAAIWsugf_qZOe9k5uQcKllXM-vtUuXJTxI42tY9dVn0CILDk57yUkXujbV67WW7Mk9AJanBnG73P4yZfpz3i7Go8fviA4kBVw-ubK9O1-CRMlY897fAgEnEje8E8C0dQ9VEhB_yiy2gWu0S_6XW4SBhjD4GhQjS_vAAeuiLhYhc6ekSY_sdz_bNA,93048,2.4479275,48.8686551,
ChIJ___E-Vtt5kcR0v-1YuWgch8,"42 Avenue du Président Wilson, 93100 Montreuil, France",Benedia Traiteur Africain,NULL,https://maps.google.com/?cid=2266050469584830418,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",restaurant,,0,,,0,restaurant,c15f5c4ccab43285f371779915df7374b4c19e0d,CmRRAAAAozpgIF1PCeDF_0hXVuyxqZ6kEQZSb05Horu1S9j23rOZge42HJI1yAQMNNpB2YCngBYLzDIobzqcYf7PGdSqjzB0VTBzbqaAtk3PDblf6eB7v6-AViDNv1NZdRj9cOHFEhDNgYM8g_nlyx5uXC9XCCLaGhQ6yQYtfa0P_lLYAdcsqTqjTpdt9w,93048,2.4406438,48.8598496,
ChIJ___jDkRt5kcRmW1fzhrEOTA,"86 Boulevard Henri Barbusse, 93100 Montreuil, France",Merucci Andrea,+33 9 64 14 15 47,https://maps.google.com/?cid=3475024206903602585,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",restaurant,,0,,,0,restaurant,4ff64f89a0667b02a20210344bfe11cde017deb2,CmRRAAAA2nyf_4HsW7-LVjImKAEnwQHvZGO6y-fx5JSojScbyxlqFaw3vW1UvRoqfVSgoFt8P9QJbewKjUJ91v5aOgByMIP9KjcYEYx3wuYjA6-gkR_JT6xXKsClVeGsksvydCAzEhBZm8Q0F-WQtw2EtfmL-bVNGhTy3bMPrceAala6IeW1R7LmD-0JRQ,93048,2.4416203,48.8685131,
ChIJ___LgFBt5kcRqO_xXUhnVsQ,"2 Rue Galilée, 92100 Montreuil, France",Union Nationale Alternative Mutualiste,NULL,https://maps.google.com/?cid=14147608839942434728,"c(""insurance_agency"", ""point_of_interest"", ""establishment"")",insurance_agency,,0,,,0,agence d'assurance,85c2ad3748914f4a072cb80b37f8a9dff4279f59,CmRSAAAAArJlpJNRT-pLpQiuIlTEEuE8d0_KJ2Ap6y-mHhSrWfBRa-EPaUhaajqvC-bJ7NNw12AG0dahEGKecr9FN6bK8PrCL4u9uVcP-hB-V7jw9l7PSh7Oj1oIM7BATnMmeissEhBoGhX1qnQIfVUUkpFDqq2rGhQCJEph_v6Pcwd2SA7h7jrugWWWbQ,93048,2.4465236,48.8615643,
ChIJ__-__mJt5kcRp67wTjxkl1Q,"128 Rue de Paris, 93100 Montreuil, France",Parisestmontreuil Fr,+33 1 49 20 69 00,https://maps.google.com/?cid=6095450830854467239,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,d627c0c29180ec442e1ad29bd26c44cd8621b72e,CmRRAAAAOF8SKz2Rzzz4im0zx2k1xTC514HtE5_q2TrMuEtxgwmLYbgxGEqvyskTf2upS3dpF5HyEJ1_8DErM0_bORMYE5FoIIkC_56kKqgbwDv-j_V8XvLPaNWWr6RABZM9T0Y0EhD3sYWb_CErllyQL5yYSbehGhRXW2yUZMhAr5YXs8FolxjuM2GDEg,93048,2.4258113,48.8568282,
ChIJ__-__mJt5kcRuafN_fJPUJE,"128 Rue de Paris, 93100 Montreuil, France",Salon,NULL,https://maps.google.com/?cid=10470957038695196601,"c(""point_of_interest"", ""establishment"")",establishment,5,1,121,121,1_4,établissement,bce136adb290a8a6446bfd32a6dd11dadbd6dadb,CmRSAAAAyiI0Oxp7lr3LzKIDyJhEilWs568IWFypPv-tIScdjNXGYbp18EUDMVy3wyOMAL_m8S7a0h4U9GRyxB9vQIl4aABWsUuzHYeAcel8y2D-a9j-ielRHtI6AlCc5gEbI_TbEhAYaU6mIZ95sOn4T9uYElVqGhRjIlqFeaoQKGoC75M2Pia4PFM6nA,93048,2.4259059,48.8569049,
ChIJ__-rpmBt5kcRbkEx3NLtCMs,"34 Boulevard Chanzy, 93100 Montreuil, France",Boucherie Alimentation azdal oriental,+33 9 50 52 84 75,https://maps.google.com/?cid=14630204879406186862,"c(""grocery_or_supermarket"", ""store"", ""food"", ""point_of_interest"", ""establishment"")",grocery_or_supermarket,5,2,86,86,1_4,grocery_or_supermarket,305fa7398471bee554edf9942ed02c406bbb5f7c,CmRSAAAAiRizFI3tJ_baxJ68LARastXeDtTc1zE-fKrLms13FFkCbjezzBoOOk0_Y4DCdzK4kBhhtekYdvlBKTiY0o6K4x4lRq_UF2EZsXmCJGqmTBVrWFi_NojM67i5kqmsHLkPEhDN795yfKK3W4-hAMYdSyxxGhR-pAC-gJEcCKTjWs9l7hDSuGjWHw,93048,2.4343329,48.8584781,
