CODGEO,CODE_DEPCOM_PLM,nb,NOM_COMM,x_ctr.CODGEO,y_ctr.CODGEO,x_ctr.CODE_DEPCOM_PLM,y_ctr.CODE_DEPCOM_PLM
02408,02028,1,LAON,745143,6940641,749426,6941753
02408,02074,1,LAON,745143,6940641,728058,6947573
02408,02088,1,LAON,745143,6940641,751540,6932914
02408,02106,1,LAON,745143,6940641,747500,6922103
02408,02156,1,LAON,745143,6940641,746394,6953280
02408,02158,1,LAON,745143,6940641,748263,6930748
02408,02165,1,LAON,745143,6940641,727288,6950282
02408,02180,1,LAON,745143,6940641,743732,6951104
02408,02200,1,LAON,745143,6940641,767783,6952404
02408,02215,1,LAON,745143,6940641,759722,6929509
02408,02217,1,LAON,745143,6940641,723366,6935718
02408,02218,1,LAON,745143,6940641,755746,6939519
02408,02238,1,LAON,745143,6940641,737161,6945118
02408,02243,1,LAON,745143,6940641,726146,6922608
02408,02282,1,LAON,745143,6940641,753392,6940010
02408,02353,1,LAON,745143,6940641,753233,6951209
02408,02360,1,LAON,745143,6940641,770076,6926625
02408,02361,1,LAON,745143,6940641,745114,6978133
02408,02434,1,LAON,745143,6940641,734925,6934979
02408,02464,1,LAON,745143,6940641,729142,6926207
02408,02471,1,LAON,745143,6940641,749276,6932502
02408,02478,1,LAON,745143,6940641,736569,6935414
02408,02493,1,LAON,745143,6940641,751598,6946883
02408,02497,1,LAON,745143,6940641,740073,6937702
02408,02498,1,LAON,745143,6940641,760089,6937690
02408,02513,1,LAON,745143,6940641,765514,6954702
02408,02559,1,LAON,745143,6940641,734954,6955934
02408,02583,1,LAON,745143,6940641,747425,6930678
02408,02621,1,LAON,745143,6940641,745424,6934446
02408,02680,1,LAON,745143,6940641,727121,6944144
02408,02697,1,LAON,745143,6940641,753098,6943107
02408,02717,1,LAON,745143,6940641,730252,6963997
02408,02720,2,LAON,745143,6940641,764600,6941648
02408,02722,2,LAON,745143,6940641,723435,6920221
02408,02758,1,LAON,745143,6940641,737485,6923430
02408,02824,1,LAON,745143,6940641,747419,6935627
02408,08254,1,LAON,745143,6940641,796703,6964275
02408,08260,1,LAON,745143,6940641,814328,6969698
02408,08373,1,LAON,745143,6940641,791215,6968473
02408,08381,1,LAON,745143,6940641,781975,6934847
02408,49099,1,LAON,745143,6940641,405641,6669319
02408,51454,2,LAON,745143,6940641,774872,6907771
02408,59599,1,LAON,745143,6940641,711348,7069530
02408,62004,1,LAON,745143,6940641,682831,7019523
02408,62048,1,LAON,745143,6940641,662600,7045792
02408,62119,1,LAON,745143,6940641,674437,7048101
02408,62771,1,LAON,745143,6940641,690193,7035799
02408,71306,1,LAON,745143,6940641,804653,6619438
02408,78208,1,LAON,745143,6940641,622791,6852530
02408,86207,1,LAON,745143,6940641,533146,6634119
02408,94077,1,LAON,745143,6940641,656660,6848414
05061,04123,1,GAP,944381,6389149,928203,6356194
05061,04209,1,GAP,944381,6389149,935479,6347850
05061,05012,1,GAP,944381,6389149,977604,6388222
05061,05023,1,GAP,944381,6389149,986875,6428462
05061,05046,1,GAP,944381,6389149,977473,6391259
05061,05070,1,GAP,944381,6389149,925014,6361353
05061,05073,1,GAP,944381,6389149,926165,6365086
05061,05123,1,GAP,944381,6389149,934714,6389297
05061,05132,1,GAP,944381,6389149,943724,6402846
05061,05179,1,GAP,944381,6389149,924291,6385699
05061,26113,1,GAP,944381,6389149,887560,6408869
05061,26205,1,GAP,944381,6389149,888544,6400305
