numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4,X,date.ok,jour.ok,temp
07149,20180101000000,100770,190,3,240,7,281.55,276.750000,72,19640,3,2,2,75,6,800,35,20,10,99680,mq,mq,-400,mq,mq,mq,mq,mq,mq,mq,11.500000,14.8,-10,2,0.000000,0,-60,0.000000,0,0.000000,1.800000,1.800000,mq,mq,mq,mq,4,6,990,4,6,1100,mq,mq,mq,mq,mq,mq,"",2017-12-31T23:00:00Z,2017-12-31,8.40000000000003
07149,20180101030000,100990,220,1,240,6.8,280.95,275.650000,69,30000,1,1,1,25,2,800,35,20,11,99900,mq,mq,-150,mq,mq,mq,mq,mq,mq,mq,10.000000,13.2,-10,1,0.000000,0,-30,0.000000,0,0.000000,1.800000,1.800000,mq,mq,mq,mq,2,6,840,1,0,7800,mq,mq,mq,mq,mq,mq,"",2018-01-01T02:00:00Z,2018-01-01,7.80000000000001
07149,20180101060000,101010,10,0,230,5.4,279.15,276.150000,81,30000,1,0,0,10,1,3380,30,23,10,99910,mq,mq,50,279.150000,mq,283.250000,mq,mq,mq,mq,9.100000,9.9,-10,1,0.000000,0,-60,0.000000,0,0.000000,0.000000,1.800000,mq,mq,mq,mq,1,3,3380,mq,mq,mq,mq,mq,mq,mq,mq,mq,"",2018-01-01T05:00:00Z,2018-01-01,6
07149,20180101090000,100670,-330,8,200,6.4,280.35,277.350000,81,30000,3,2,2,90,7,450,38,mq,mq,99580,mq,mq,-140,mq,mq,mq,mq,mq,mq,mq,10.200000,13.2,-10,1,0.000000,0,-30,-0.100000,0,-0.100000,-0.100000,1.800000,mq,mq,mq,mq,5,8,570,7,6,1100,mq,mq,mq,mq,mq,mq,"",2018-01-01T08:00:00Z,2018-01-01,7.20000000000005
07149,20180101120000,99810,-850,6,200,6.5,281.25,280.050000,92,6000,63,6,6,90,7,450,38,mq,mq,98730,mq,mq,-790,mq,mq,mq,mq,mq,mq,mq,12.300000,14.5,-10,2,0.000000,0,-60,3.700000,7.5,7.500000,7.500000,9.300000,mq,mq,mq,mq,6,6,300,2,8,420,7,6,600,mq,mq,mq,"",2018-01-01T11:00:00Z,2018-01-01,8.10000000000002
07149,20180101150000,99580,-230,5,250,9.9,281.45,279.550000,88,4080,61,6,2,90,7,450,32,mq,mq,98500,mq,mq,-730,mq,mq,mq,mq,mq,mq,mq,14.800000,15.9,-10,2,0.000000,0,-30,0.600000,2.2,9.700000,9.700000,11.500000,mq,mq,mq,mq,2,6,480,1,8,630,5,6,660,mq,mq,mq,"",2018-01-01T14:00:00Z,2018-01-01,8.30000000000001
07149,20180101180000,100520,930,1,290,8.3,280.85,277.050000,77,30000,1,2,2,90,7,800,38,mq,mq,99430,mq,mq,150,278.850000,mq,282.950000,mq,mq,mq,mq,16.800000,16.8,-10,2,0.000000,0,-60,0.000000,0.4,2.600000,10.100000,10.100000,mq,mq,mq,mq,5,8,720,5,6,1000,mq,mq,mq,mq,mq,mq,"",2018-01-01T17:00:00Z,2018-01-01,7.70000000000005
07149,20180101210000,101040,510,1,280,6.6,279.85,276.450000,79,30000,3,0,0,40,3,450,32,20,10,99940,mq,mq,450,mq,mq,mq,mq,mq,mq,mq,10.200000,10.7,-10,2,0.000000,0,-30,0.000000,0,0.400000,10.100000,10.100000,mq,mq,mq,mq,1,8,440,1,8,840,1,8,1000,mq,mq,mq,"",2018-01-01T20:00:00Z,2018-01-01,6.70000000000005
07149,20180102000000,101370,330,1,270,4.3,279.95,276.750000,80,17110,80,8,6,90,7,800,32,mq,mq,100270,mq,mq,590,mq,mq,mq,mq,mq,mq,mq,6.900000,10,-10,2,0.000000,0,-60,0.200000,0.2,0.200000,2.800000,10.300000,mq,mq,mq,mq,5,8,830,3,8,1200,mq,mq,mq,mq,mq,mq,"",2018-01-01T23:00:00Z,2018-01-01,6.80000000000001
07149,20180102030000,101550,170,1,270,5.3,279.15,276.150000,81,25000,1,0,0,10,1,800,38,20,10,100440,mq,mq,540,mq,mq,mq,mq,mq,mq,mq,7.700000,8.3,-10,2,0.000000,0,-30,0.000000,0.4,0.600000,1.000000,10.700000,mq,mq,mq,mq,1,8,900,1,6,1200,mq,mq,mq,mq,mq,mq,"",2018-01-02T02:00:00Z,2018-01-02,6
07149,20180102060000,101650,100,1,250,2,279.05,276.850000,86,12700,3,2,2,90,7,4900,30,23,mq,100540,mq,mq,630,278.950000,mq,280.850000,mq,mq,mq,mq,3.000000,4.7,-10,2,0.000000,0,-60,0.000000,0,0.400000,0.600000,10.700000,mq,mq,mq,mq,7,3,4900,mq,mq,mq,mq,mq,mq,mq,mq,mq,"",2018-01-02T05:00:00Z,2018-01-02,5.90000000000003
07149,20180102090000,101780,130,0,220,3.3,278.65,276.150000,84,14830,2,2,2,90,7,3800,30,23,mq,100670,mq,mq,1090,mq,mq,mq,mq,mq,mq,mq,5.500000,5.5,-10,2,0.000000,0,-30,0.000000,0,0.000000,0.600000,10.700000,mq,mq,mq,mq,7,3,3800,mq,mq,mq,mq,mq,mq,mq,mq,mq,"",2018-01-02T08:00:00Z,2018-01-02,5.5
07149,20180102120000,101560,-210,8,200,4.2,280.95,277.850000,81,15600,3,2,2,90,7,450,38,mq,mq,100460,mq,mq,1730,mq,mq,mq,mq,mq,mq,mq,6.400000,6.4,-10,1,0.000000,0,-60,0.000000,0,0.000000,0.400000,3.200000,mq,mq,mq,mq,2,8,390,7,6,840,mq,mq,mq,mq,mq,mq,"",2018-01-02T11:00:00Z,2018-01-02,7.80000000000001
07149,20180102150000,101250,-300,6,210,4.9,281.55,280.350000,92,9950,50,5,2,100,7,150,37,mq,mq,100160,mq,mq,1660,mq,mq,mq,mq,mq,mq,mq,9.300000,11,-10,1,0.000000,0,-30,-0.100000,0,-0.100000,-0.100000,1.000000,mq,mq,mq,mq,7,7,180,mq,mq,mq,mq,mq,mq,mq,mq,mq,"",2018-01-02T14:00:00Z,2018-01-02,8.40000000000003
07149,20180102180000,101140,-110,6,210,5.7,282.55,281.750000,95,2750,51,5,2,100,7,150,37,mq,mq,100050,mq,mq,620,278.450000,mq,282.550000,mq,mq,mq,mq,8.600000,10.3,-10,2,0.000000,0,-60,0.200000,0.6,0.600000,0.600000,1.200000,mq,mq,mq,mq,7,7,150,mq,mq,mq,mq,mq,mq,mq,mq,mq,"",2018-01-02T17:00:00Z,2018-01-02,9.40000000000003
